ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR181CES/	ENCSR181CES	long read RNA-seq	long read RNA-seq				Homo sapiens Panc1	Panc1	GEO:GSE175064	Panc1 cell line	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF990CUL/,/files/ENCFF830DIW/,/files/ENCFF786LUJ/,/files/ENCFF745DHX/,/files/ENCFF218FJR/,/files/ENCFF764HBQ/"		ENCBS777OZT	1	1		Homo sapiens	adult	56 years												/replicates/aaba0789-8df9-4327-82b5-633a47d586d5/				
/experiments/ENCSR810XLL/	ENCSR810XLL	long read RNA-seq	long read RNA-seq				Homo sapiens MCF-7	MCF-7	GEO:GSE175197	MCF-7 cell line	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF887DGG/,/files/ENCFF742XDU/,/files/ENCFF476CVK/,/files/ENCFF118JEI/,/files/ENCFF390CLZ/,/files/ENCFF579LVE/"		ENCBS734JMT	1	1		Homo sapiens	adult	69 years												/replicates/d72b8196-8c13-4b8b-abb0-dc8fb3eada80/				
/experiments/ENCSR947JHA/	ENCSR947JHA	long read RNA-seq	long read RNA-seq				Homo sapiens PC-3	PC-3	GEO:GSE175336	PC-3 cell line	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF834KTE/,/files/ENCFF801ZHP/,/files/ENCFF369ZIJ/,/files/ENCFF044LIA/,/files/ENCFF656JGF/,/files/ENCFF215YGM/"		ENCBS555BGE	1	1		Homo sapiens	adult	62 years												/replicates/5fbcc8c5-246d-430e-a9f7-85f798591f25/				
/experiments/ENCSR526TQU/	ENCSR526TQU	long read RNA-seq	long read RNA-seq				Homo sapiens K562	K562	GEO:GSE174877	K562 Ljungman	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF696GDL/,/files/ENCFF516IEG/,/files/ENCFF322UJU/,/files/ENCFF103OYU/,/files/ENCFF391VFS/,/files/ENCFF246TDN/"		ENCBS206PUV	1	1		Homo sapiens	adult	53 years												/replicates/bc365efb-c356-4c3f-afea-664bca20566b/				
/experiments/ENCSR113MEY/	ENCSR113MEY	long read RNA-seq	long read RNA-seq				Homo sapiens IMR-90	IMR-90	GEO:GSE174994	IMR90 cell line	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF197DCI/,/files/ENCFF320RGU/,/files/ENCFF545PJV/,/files/ENCFF244YTX/,/files/ENCFF461UXJ/,/files/ENCFF406ITF/"		ENCBS648NSQ	1	1		Homo sapiens	embryonic	16 weeks												/replicates/e68934cf-9bac-4075-a781-0eb679971c12/				
/experiments/ENCSR388RWE/	ENCSR388RWE	long read RNA-seq	long read RNA-seq				Homo sapiens HCT116	HCT116	GEO:GSE175221	HCT 116 cell line	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF337VWR/,/files/ENCFF624KKQ/,/files/ENCFF776BTJ/,/files/ENCFF400LRT/,/files/ENCFF242HKF/,/files/ENCFF822PJF/"		ENCBS375FZQ	1	1		Homo sapiens	adult	48 years												/replicates/a5817a8d-62bf-4f88-a84d-7e362a71e09a/				
/experiments/ENCSR634AKC/	ENCSR634AKC	long read RNA-seq	long read RNA-seq				Homo sapiens HepG2	HepG2	GEO:GSE175006	HepG2 Ljungman	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF483HTA/,/files/ENCFF834RIH/,/files/ENCFF382KVB/,/files/ENCFF814ABW/,/files/ENCFF333KIC/,/files/ENCFF592AYK/"		ENCBS365LJQ	1	1		Homo sapiens	child	15 years												/replicates/37e05107-6b3b-44ef-979c-58a223030632/				
/experiments/ENCSR583KCB/	ENCSR583KCB	long read RNA-seq	long read RNA-seq				Homo sapiens Calu3	Calu3		"ENC4_513, ENC4_514 Calu-3 rep1 human non-small cell lung cancer (epithelial)"	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF438MFP/,/files/ENCFF548JGS/,/files/ENCFF306ZEN/,/files/ENCFF569KOA/,/files/ENCFF933RHX/,/files/ENCFF410IGJ/,/files/ENCFF856AQM/,/files/ENCFF459ASC/,/files/ENCFF563QXX/,/files/ENCFF211AAQ/,/files/ENCFF129OLY/,/files/ENCFF395SXY/"		"ENCBS961BBX,ENCBS806IYJ"	"1,2"	1		Homo sapiens	adult	25 years												"/replicates/a8bc5d49-0f69-4bc1-afe4-0344ac5897bd/,/replicates/61896972-2567-4a87-a627-a8c1f402b305/"				
/experiments/ENCSR962BVU/	ENCSR962BVU	long read RNA-seq	long read RNA-seq				Homo sapiens GM12878	GM12878	GEO:GSE175340	GM12878 Ljungman	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF417VHJ/,/files/ENCFF277NCZ/,/files/ENCFF219UJG/,/files/ENCFF448EAI/,/files/ENCFF403VUQ/,/files/ENCFF913VJX/"		ENCBS975OUN	1	1		Homo sapiens	adult													/replicates/1a99197c-9d85-4718-a694-da59a2444ace/				
/experiments/ENCSR989ZYL/	ENCSR989ZYL	long read RNA-seq	long read RNA-seq				Homo sapiens A673	A673		"ENC4_509 , ENC4_510 A673 rep1 human Ewing sarcoma (bone or soft tissue sarcoma)"	"Ali Mortazavi, UCI"	ENCODE	released	"/files/ENCFF244GRT/,/files/ENCFF168MIB/,/files/ENCFF603HKI/,/files/ENCFF861BKY/,/files/ENCFF440LXJ/,/files/ENCFF240FZT/,/files/ENCFF045ZQI/,/files/ENCFF320GCF/,/files/ENCFF816TJN/,/files/ENCFF163ZEX/,/files/ENCFF384PHN/,/files/ENCFF807CZI/"		"ENCBS060KJN,ENCBS119CST"	"2,1"	1		Homo sapiens	child	15 years												"/replicates/35a407a2-aabd-4d87-82c7-cffca16d69d7/,/replicates/aa9271c0-cbe3-4331-8f56-407092a81d67/"				
