File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF760WNG	bam	bam		unfiltered alignments	GRCh38	ENCSR727IHV	Bru-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1		151					/files/ENCFF280LBW/, /files/ENCFF322DSA/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF229LAS/, /files/ENCFF267BFZ/	4728417891	Mats Ljungman, UMichigan	4c037977307da5cff72e07c6187fe443		https://www.encodeproject.org/files/ENCFF760WNG/@@download/ENCFF760WNG.bam				released	s3://encode-public/2020/09/11/8a7aa251-ff12-4153-9d6e-3f88a71592fa/ENCFF760WNG.bam	Lab custom GRCh38	released			
ENCFF091MSC	bam	bam		unfiltered alignments	GRCh38	ENCSR727IHV	Bru-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1		151					/files/ENCFF316PRN/, /files/ENCFF280LBW/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF065KGG/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF267BFZ/	5612832550	Mats Ljungman, UMichigan	c057ec892f06c6444765cafdc2ffaf6c		https://www.encodeproject.org/files/ENCFF091MSC/@@download/ENCFF091MSC.bam				released	s3://encode-public/2020/09/11/a8814da6-2da4-425a-a6cb-668626f9ed27/ENCFF091MSC.bam	Lab custom GRCh38	released			
ENCFF687TYF	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR727IHV	Bru-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF760WNG/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	274900326	Mats Ljungman, UMichigan	765024af3aa88839f30ed31ed819c3a8		https://www.encodeproject.org/files/ENCFF687TYF/@@download/ENCFF687TYF.bigWig				released	s3://encode-public/2021/09/03/2abbb470-aaea-4e7e-be98-9861892edc85/ENCFF687TYF.bigWig	Lab custom GRCh38	released			
ENCFF170FIQ	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR727IHV	Bru-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF760WNG/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	256479128	Mats Ljungman, UMichigan	5ae2b7ae74c84160cf5df747400f43c5		https://www.encodeproject.org/files/ENCFF170FIQ/@@download/ENCFF170FIQ.bigWig				released	s3://encode-public/2021/09/03/d426e056-5c3e-4ae2-9e52-2a82c73e93ff/ENCFF170FIQ.bigWig	Lab custom GRCh38	released			
ENCFF059ADH	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR727IHV	Bru-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF091MSC/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	313140689	Mats Ljungman, UMichigan	062d3dc7acad38f8e327e43435d53ca3		https://www.encodeproject.org/files/ENCFF059ADH/@@download/ENCFF059ADH.bigWig				released	s3://encode-public/2021/09/03/4bcc1402-6925-4350-a4c9-ff08de74b265/ENCFF059ADH.bigWig	Lab custom GRCh38	released			
ENCFF809CFZ	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR727IHV	Bru-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF091MSC/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	290736489	Mats Ljungman, UMichigan	432bce60b1c680292e17747705e0d59e		https://www.encodeproject.org/files/ENCFF809CFZ/@@download/ENCFF809CFZ.bigWig				released	s3://encode-public/2021/09/03/1898a229-a054-4236-9260-49abc355c5cf/ENCFF809CFZ.bigWig	Lab custom GRCh38	released			
ENCFF636ZYN	bam	bam		unfiltered alignments	GRCh38	ENCSR456HKF	BruChase-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2021-09-30	ENCODE			400-500	1	1_1		151					/files/ENCFF972ZSS/, /files/ENCFF117MEU/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	5926085846	Mats Ljungman, UMichigan	b44903c0a4c94ed76db1241d4c5d087f		https://www.encodeproject.org/files/ENCFF636ZYN/@@download/ENCFF636ZYN.bam				released	s3://encode-public/2021/09/03/a9bd968f-a3ee-4707-8a0a-497267292e3c/ENCFF636ZYN.bam	Lab custom GRCh38	released			
ENCFF667UQV	bam	bam		unfiltered alignments	GRCh38	ENCSR456HKF	BruChase-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2021-09-30	ENCODE			400-500	1	1_1		151					/files/ENCFF972ZSS/, /files/ENCFF117MEU/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	774615801	Mats Ljungman, UMichigan	e26ee61d5f94dc5a20222dde0fb74806		https://www.encodeproject.org/files/ENCFF667UQV/@@download/ENCFF667UQV.bam				released	s3://encode-public/2021/09/03/486c306d-d0d4-4c1b-894e-132a9c071f6d/ENCFF667UQV.bam	Lab custom GRCh38	released			
ENCFF683FNT	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR456HKF	BruChase-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2021-09-30	ENCODE			400-500	1	1_1							/files/ENCFF636ZYN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	220259136	Mats Ljungman, UMichigan	4b9a2d1aa208893b63eaaeec85b244ed		https://www.encodeproject.org/files/ENCFF683FNT/@@download/ENCFF683FNT.bigWig				released	s3://encode-public/2021/09/03/ce8b71fb-fb92-4726-be99-ab59e6a5ceab/ENCFF683FNT.bigWig	Lab custom GRCh38	released			
ENCFF896BFA	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR456HKF	BruChase-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2021-09-30	ENCODE			400-500	1	1_1							/files/ENCFF636ZYN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	209258497	Mats Ljungman, UMichigan	6e373018492b2fcb2e4f2f1a4a3eacd2		https://www.encodeproject.org/files/ENCFF896BFA/@@download/ENCFF896BFA.bigWig				released	s3://encode-public/2021/09/03/6b3c4d8e-a5e3-4e2e-8779-79ab18347c92/ENCFF896BFA.bigWig	Lab custom GRCh38	released			
ENCFF631UEG	bam	bam		unfiltered alignments	GRCh38	ENCSR456HKF	BruChase-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2021-09-30	ENCODE			400-500	2	2_1		151					/files/ENCFF632YVF/, /files/ENCFF600OVN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	4577730222	Mats Ljungman, UMichigan	0629508f36e4bcab51625d000cf8df7c		https://www.encodeproject.org/files/ENCFF631UEG/@@download/ENCFF631UEG.bam				released	s3://encode-public/2021/09/03/f944ce2c-2543-4c90-9313-5c14f7d3a7f9/ENCFF631UEG.bam	Lab custom GRCh38	released			
ENCFF584ULM	bam	bam		unfiltered alignments	GRCh38	ENCSR456HKF	BruChase-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2021-09-30	ENCODE			400-500	2	2_1		151					/files/ENCFF632YVF/, /files/ENCFF600OVN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	729849308	Mats Ljungman, UMichigan	7ded00245be617dca8ce759cd747663a		https://www.encodeproject.org/files/ENCFF584ULM/@@download/ENCFF584ULM.bam				released	s3://encode-public/2021/09/03/76f99f52-3518-4776-b215-a650bdb1f2bb/ENCFF584ULM.bam	Lab custom GRCh38	released			
ENCFF561JAW	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR456HKF	BruChase-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2021-09-30	ENCODE			400-500	2	2_1							/files/ENCFF631UEG/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	177929356	Mats Ljungman, UMichigan	6ed0c03dc03da6ada41d7f7364126e24		https://www.encodeproject.org/files/ENCFF561JAW/@@download/ENCFF561JAW.bigWig				released	s3://encode-public/2021/09/03/a8d02fea-7a4d-4b62-992b-670355a6fb5b/ENCFF561JAW.bigWig	Lab custom GRCh38	released			
