gname,z_score
ABHD11,2.6233239564192816
ABHD14A-ACY1,2.4053050616760374
ABHD17B,2.242494641275111
ABT1,2.081945460320768
ACACA,3.5882620153871034
ACADSB,2.0012199488901676
ACBD6,4.402727853096972
ACOT4,2.1610622681017877
ACOT9,3.1877010225865114
ACSL4,2.4053050616760374
ACY1,6.094950075374833
ADA,2.0980661294271403
ADAM10,2.508792214232688
ADAM28,2.026812036537677
ADCK2,2.384413610597673
ADD1,2.0757424007203698
ADGRB2,2.245466527619376
ADO,4.420496889043885
AFTPH,2.3687092386920834
AIMP1,3.4854877852849704
AKR1C2,2.1860900535923222
ALG12,2.6493494492187
ALKBH2,3.336364266238222
AMZ1,2.293039018603384
ANKRD11,2.4146219856238718
ANKRD2,2.4053050616760374
ANKRD23,2.026812036537677
ANKRD37,2.356415738964878
ANKRD49,3.6019246607865196
ANO10,2.5694631439281634
ANP32E,2.1248933958672533
ANXA3,3.0350147150127835
APLNR,2.7218710854647536
APOL1,2.5894417922568884
AQP1,2.6493494492186884
AQP4,3.2157017236723986
ARFIP2,3.381402948448014
ARHGAP24,2.026812036537677
ARHGAP27,2.6481710203220166
ARHGAP35,2.026812036537677
ARID4A,2.026812036537677
ARID5B,2.026812036537677
ARL1,2.3991556815319863
ARMC9,2.803884914234041
ARMH1,2.2295118549764696
ARPC1A,2.496299033438404
ARPIN,2.0349628185813473
ARRB1,2.8028059737430584
ARRB2,3.0906670207057565
ATP13A1,2.6167819484612203
ATP2C1,2.4802388013665078
AURKA,2.4053050616760374
B3GNT9,2.6493494492186884
BACE1,2.4367787574144057
BCAS4,2.179939912429465
BCR,2.7195242177515233
BEST3,2.4053050616760374
BHLHE41,2.214128565189541
BLZF1,3.1444052468056913
BNIP2,2.468419446885379
BORCS8-MEF2B,2.1620774613809735
BRF1,3.1014476750137727
BRIX1,2.8297824913676584
C11orf71,4.562067228050562
C1QA,2.048062712696957
C1orf159,3.3703325707226996
C1orf21,2.425679024614315
C5orf34,2.4053050616760374
C9orf40,2.31052369879724
C9orf78,2.563494161107711
CACHD1,2.019590963502733
CAMK2D,2.594451877041398
CAMSAP1,2.026812036537677
CAND1,3.1810664527190142
CAPN2,2.1154417849367624
CAPS,2.0102028833396153
CCDC127,2.31052369879724
CCDC28A,2.2456537169244606
CCDC68,2.4053050616760374
CCDC82,3.7647537186789353
CCDC91,3.764181320404714
CD300C,2.4053050616760374
CDC73,2.9365195250407576
CDCA7L,5.5307270982618775
CDK1,2.4053050616760374
CDPF1,2.5516487317661065
CELF6,2.026812036537677
CENPO,2.4053050616760374
CEP104,2.107202322668256
CERCAM,3.8198902193632125
CFAP97,2.999981536465302
CHD9,2.784942043314488
CHKB,2.6281740301111425
CLEC14A,2.707519108546611
CLVS1,2.7149615488479837
CMTR2,2.026812036537677
CNDP1,2.3708471213652618
CNIH4,2.3898033333469835
CNNM3,2.3174725881737865
COA1,2.538654796249673
COBLL1,2.026812036537677
CORO2B,3.3602770064452185
CREB3,2.3846861739313505
CRIPT,2.220423396856222
CRTAP,2.123815102163386
CSE1L,3.177398509794798
CSTF2T,2.6493494492187
CTDNEP1,3.0544298438263153
CTNNB1,2.0406351072110382
CTSH,2.9019345173386144
CUL4A,3.771919272862599
CWC25,2.781600016957015
CYBC1,3.157496428026504
CYS1,2.0349628185813464
DALRD3,2.2444495358989305
DCUN1D4,2.622265768768575
DDAH2,2.074173301624373
DDB1,2.0069572036843986
DDX51,3.4078951284549106
DEXI,2.2585079065291644
DHODH,2.5566828378883137
DHX38,2.9422934693701337
DIPK1A,2.3225184393529075
DIPK1C,3.6061155401834184
DLAT,2.8583480150595975
DLD,2.3523667768365253
DLG1,2.143521810681831
DMKN,2.4911871289543885
DMPK,2.7099794148622514
DNAJB12,2.474508221904834
DNTTIP1,2.1285479904154245
DOK6,2.0039768731355836
DPH2,2.0769151989794414
DUSP26,2.671048386785299
DZIP3,2.447723860719767
EAPP,2.2844325750135974
EHD3,2.0039768731355836
EIF1AD,2.1492191194250108
EIF2B2,2.2628958828063075
EIF3D,2.3430702335173987
EIF4EBP2,3.1513595122127622
EIF6,2.6219674306247636
ELAVL1,2.4460748517189725
EMC2,2.1251832421041086
ENPP5,4.131792078345872
ENSG00000257390,2.026812036537677
ENSG00000267059,2.4053050616760374
ENTPD4,2.0166929093926984
ENTR1,2.5034093865108
EPB41L1,2.2755921167866924
EPOP,2.6493494492186884
ERFE,2.6481710203220166
ERG28,4.063716964713485
ERP44,2.502554238633976
ESRRA,2.9769536099402054
EVI5L,3.720484161795565
EXOC5,2.581152741043794
EXOSC2,3.665253831492843
EXOSC6,2.0177265614757447
FAM118A,3.4444383875169486
FAM234A,3.097991592561088
FARP1,2.1258404544923613
FAU,2.2143863197271454
FBRSL1,2.2095153215551075
FBXL14,3.6015663332214713
FBXL6,3.543956125268434
FBXO21,2.2057697684269346
FBXO22,2.5981289733256183
FCGR2A,2.2703354497107053
FCHO1,2.014592085430347
FERMT3,2.5492329175716875
FGD5,2.546830127722226
FLAD1,3.237364637978951
FLII,5.382007494966168
FN1,2.697697116074546
FOXC2,2.4126543175464787
FOXG1,2.2782860972207417
FOXN3,2.11651225619717
FUZ,2.8241031375675254
FZR1,2.510576727721413
GABBR2,3.2894640333236294
GALK1,2.8006568524320614
GASK1B,2.191960542561668
GCLC,2.081585417982903
GCNT1,2.608652821941568
GEMIN7,2.5130769472503567
GFRA2,2.302438414112856
GIGYF2,2.1928103087462194
GIMAP1,3.106543015719854
GMEB1,2.4053050616760374
GMPR2,2.1659627054555832
GNB1L,2.1214341250900977
GNL1,3.2537406775350726
GPATCH2L,2.7173348982684855
GPR108,2.0223519144668667
GPR37,3.335937610349144
GPR37L1,3.403356459500357
GPS2,5.0980033175797965
GRM2,2.0592906395494253
GTF2B,2.7395786566326357
GTF3C3,2.05460718156883
GTPBP2,2.4053050616760374
HACL1,3.513109408173342
HAUS3,2.521067232744653
HCFC1R1,2.0473171928181304
HDGFL2,2.052844244800952
HLA-A,4.472959458833493
HMBS,3.097939445746974
HMGA1,2.1396736734648916
HNRNPUL1,2.374617328591732
HSD17B11,3.0320872907125036
HSD17B6,2.7467209518866484
HSPA4L,2.026812036537677
HSPB11,2.2238280207728796
IFIT2,2.0039768731355836
IFIT5,2.5353846290922153
IFNAR1,2.634448825954124
IFRD2,2.3455065667955393
IFT122,2.1083172797108087
IFT46,2.156316785965033
IGIP,2.6493494492187
IL15RA,2.4661845809158147
IL1RL1,2.7721368558698174
ILF2,2.5520432511339926
ING4,2.1304928986745906
INTS2,2.920638889541358
IQCB1,3.2497946922161463
IQCK,2.0188226359903165
IRS2,2.468311556377046
ISCU,2.57364290875045
IST1,2.3938286603092065
ISY1,2.6654504922551348
JPH1,3.5571561437807793
KATNB1,2.548350556307229
KBTBD7,2.425679024614315
KCTD10,2.8730995162609383
KCTD2,2.0268120365376823
KDM2A,2.026812036537677
KIAA0319L,2.180718990532839
KIAA1614,2.026812036537677
KIDINS220,2.4053050616760374
KIF21A,2.719907631242998
KIN,2.6493494492187
KLHL32,2.808579525279519
KPNA1,2.051330629904815
LAMP5,2.5324237006317882
LCMT1,2.122323986799984
LDHD,2.1335253421444142
LENG8,2.4799917860815013
LGALS3BP,2.6864286528046857
LIN7C,2.982003904539357
LMAN1,2.6493494492186884
LMAN2L,2.975457477177748
LNPK,2.3359831663250565
LPCAT2,2.7173348982684855
LRPPRC,2.1329862079138313
LRRC1,2.780819022043379
LRRC20,2.476165871373374
LRRC28,2.9321923365654547
LRRFIP2,2.045608220856065
LSM12,2.424601583112264
LTB,2.4053050616760374
MACF1,2.118140488668734
MAGED4,2.0314230171995695
MAGI2,2.026812036537677
MAPK13,3.4505225986198838
MAPK3,2.1181344169824774
MAPK6,2.0080360055285706
MAPK8IP1,2.072371244795615
MARS1,3.7670931456723546
MBLAC1,2.2754805838658205
MCEE,2.8208515492681143
MCF2,2.026812036537677
MCTP1,2.6711243512822556
MCUR1,4.606329061916037
MECP2,2.5650364266891827
MED24,2.2087707163469763
MESD,2.3444897993931995
MESP1,2.0039768731355836
METTL1,2.6879810101519674
METTL17,2.484656886689046
METTL25,2.4053050616760374
METTL7B,2.6493494492186884
MIF4GD,2.3546263849670153
MINDY1,2.3783226236926995
MKNK1,2.1323523510229276
MLXIPL,3.4655993783293666
MMAB,3.42864905333013
MMP23B,2.026812036537677
MMRN2,2.646043181765162
MMS19,2.340489287540535
MMUT,2.466906050675016
MOK,2.0379291311650896
MOV10,2.092004767670925
MRPL35,3.860320217954637
MRPL38,3.1379850553987967
MRPL46,2.668957816060716
MRPL9,2.2895554508033356
MSL3,2.0490672138464174
MTCH1,3.775933531477897
MTRF1L,3.6480986639664246
MXRA7,2.03982333170785
MYBPC1,2.8689088116151673
MYH9,2.4322290270035833
MYO15A,2.026812036537677
MYRF,2.7337515014411706
NADK2,2.1166153646340726
NAGLU,3.99292941142046
NAMPT,2.864800608785766
NCAPD3,2.0926292638116903
NCBP2AS2,2.425679024614315
NDUFS2,2.3183745740776045
NECAP1,2.155330367055962
NEIL1,2.215857385928612
NEK3,2.2281745363791243
NFRKB,2.4053050616760374
NIPAL3,2.382793272862924
NKD2,2.093726295606723
NLGN3,2.0045519167793984
NOL12,2.0546449669354354
NOL8,2.414163771820444
NOS3,2.412654317546476
NOTCH2NLA,2.425679024614315
NPC1,2.96382297784085
NPEPL1,2.8550338295835638
NR2C1,2.039303054244054
NRXN2,2.008420612768676
NSMCE3,2.164464689190481
NTAQ1,2.35461312273588
NUMA1,2.1422783564549213
NUP62,4.245011315259029
OCEL1,2.042767550783854
OGA,2.342436798734305
ORAI1,2.425679024614315
OSBP,2.659981179469687
OSER1,2.213640794863999
OVGP1,2.026812036537677
OXLD1,2.8355315354935153
P2RX5,2.0182773225446353
P2RX7,2.058009653563411
PAAF1,2.871048424923536
PABIR1,2.7120355125089115
PAK2,2.2159395245859934
PARVB,2.726703163895491
PCBD2,3.224899845829751
PCDH7,2.601706746953457
PCGF6,2.6395424326242662
PDCD10,2.243287554775498
PDE8A,3.4181787631022034
PELI1,2.2797866002491953
PEPD,2.1540874237109433
PERP,2.2116598197555395
PEX12,2.425679024614312
PEX3,2.757840178218855
PHYHD1,2.088034228749654
PIFO,3.354801261423811
PIP4K2A,3.2250479174182525
PIP4K2C,3.4443384000639785
PITPNC1,2.2035039399392393
PKN2,2.026812036537677
PLAC9,2.1496190661070544
PLXNC1,2.026812036537677
PNPLA6,2.1080313745849835
PNRC2,3.2509448488549655
POC1B,2.9011170090453966
POLR3E,3.0710093711029134
POLRMT,2.5280994737365825
PORCN,2.019628130153289
POU3F3,2.6493494492186884
PPFIA2,2.026812036537677
PPP1CB,3.1719740536757715
PPP1R12A,2.156316785965033
PPP1R14B,2.2046033355698658
PPP6C,2.902725622468045
PRELID2,2.4053050616760374
PRKAA1,2.4448789590530096
PRKRA,3.0216639406244754
PRORP,2.551909520611049
PRPF38B,2.217093098849443
PRSS12,2.026812036537677
PSMB2,3.442462543450482
PTDSS2,2.24201900843688
PTER,3.606115540183424
PWP1,2.8087215588824437
PYCARD,2.252069509356012
QPCTL,2.026812036537677
QRSL1,2.425679024614315
QSOX1,2.9989044256030595
R3HCC1,2.2510562156939673
RAB11A,2.154800772886545
RAB21,2.2026141160605683
RAB33B,2.026812036537677
RAD51C,2.966105474077453
RAF1,3.2715829749074588
RANBP3L,2.610231150166493
RASAL1,2.239046134141287
