File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF596ODX	bam	bam		alignments	GRCh38	ENCSR706ANY	long read RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2019-06-28	ENCODE				2	2_1							/files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF234YIJ/, /files/ENCFF911UGW/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	134030159	ENCODE Processing Pipeline	c3520b0c4713c05c25962c597a43a161		https://www.encodeproject.org/files/ENCFF596ODX/@@download/ENCFF596ODX.bam	V29			released	s3://encode-public/2020/08/07/d9ac7dc6-2180-4b05-b2aa-d912a5d49ddb/ENCFF596ODX.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF192PJS	bam	bam		alignments	GRCh38	ENCSR706ANY	long read RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2019-06-28	ENCODE				1	1_1							/files/ENCFF132HLS/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF911UGW/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	112128976	ENCODE Processing Pipeline	a2d12c4ffde4dc270f91c7404bd11439		https://www.encodeproject.org/files/ENCFF192PJS/@@download/ENCFF192PJS.bam	V29			released	s3://encode-public/2020/08/07/08c57f24-262d-4f93-bb6a-fce5aa9934eb/ENCFF192PJS.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF694CBG	bam	bam		alignments	GRCh38	ENCSR706ANY	long read RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2019-06-28	ENCODE				3	3_1							/files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF810UWA/, /files/ENCFF911UGW/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	113234636	ENCODE Processing Pipeline	3d58c7878c42dd9f7cc5e0d12f0eb8d5		https://www.encodeproject.org/files/ENCFF694CBG/@@download/ENCFF694CBG.bam	V29			released	s3://encode-public/2020/08/07/60cedcd2-1723-48ed-bf4f-7980b31c799f/ENCFF694CBG.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF538BNH	bam	bam		alignments	GRCh38	ENCSR706ANY	long read RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2019-06-28	ENCODE				4	4_1							/files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF615XZM/, /files/ENCFF911UGW/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	113744529	ENCODE Processing Pipeline	7e7b60a0cd8cf21db6b6602000d209a0		https://www.encodeproject.org/files/ENCFF538BNH/@@download/ENCFF538BNH.bam	V29			released	s3://encode-public/2020/08/07/d242ebbe-1816-404e-b0bd-e365aca5584a/ENCFF538BNH.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF613SDS	bam	bam		alignments	GRCh38	ENCSR514YQN	long read RNA-seq	/human-donors/ENCDO411EVD/	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF592ULG/, /files/ENCFF911UGW/	198097384	ENCODE Processing Pipeline	ad8107aab6888a0968315e20dda1725f		https://www.encodeproject.org/files/ENCFF613SDS/@@download/ENCFF613SDS.bam	V29			released	s3://encode-public/2021/01/23/4e5459a5-b609-47d7-970d-f5a449f1616b/ENCFF613SDS.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF984RMR	bam	bam		alignments	GRCh38	ENCSR507WZC	long read RNA-seq	/human-donors/ENCDO186XRB/	UBERON:0000992	ovary	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF664IVZ/, /files/ENCFF911UGW/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	359484366	ENCODE Processing Pipeline	dd676b11683370a41ad99a60834ea4d1		https://www.encodeproject.org/files/ENCFF984RMR/@@download/ENCFF984RMR.bam	V29			released	s3://encode-public/2021/01/26/dfad5669-a502-42c2-a9dd-e55481795615/ENCFF984RMR.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF504GVG	bam	bam		alignments	GRCh38	ENCSR589FUJ	long read RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2019-06-28	ENCODE				1	1_1							/files/ENCFF911UGW/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF092NLB/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	216012512	ENCODE Processing Pipeline	21345cb7d1fd2656ccdd7bf4115781e1		https://www.encodeproject.org/files/ENCFF504GVG/@@download/ENCFF504GVG.bam	V29			released	s3://encode-public/2020/08/07/2397c5c5-2c19-4b9c-b2bd-cf6b802b630b/ENCFF504GVG.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF479SQR	bam	bam		alignments	GRCh38	ENCSR589FUJ	long read RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2019-06-28	ENCODE				2	2_1							/files/ENCFF911UGW/, /files/ENCFF433YKW/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	117954747	ENCODE Processing Pipeline	c59fbf5b54d837b83cf31ecd0280767e		https://www.encodeproject.org/files/ENCFF479SQR/@@download/ENCFF479SQR.bam	V29			released	s3://encode-public/2020/08/07/2c832042-5b14-449c-b974-6502518b6eba/ENCFF479SQR.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF600UQU	bam	bam		alignments	GRCh38	ENCSR687RWI	long read RNA-seq	/human-donors/ENCDO000AAS/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											polyadenylated mRNA					forward	2021-12-13	ENCODE				2	2_1							/files/ENCFF714EJD/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF911UGW/	442813457	ENCODE Processing Pipeline	8b278384654a96cfd46756994aea7e49		https://www.encodeproject.org/files/ENCFF600UQU/@@download/ENCFF600UQU.bam	V29			released	s3://encode-public/2021/12/13/c6f5133d-20c5-4781-8668-4646f0595e45/ENCFF600UQU.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF049QIP	bam	bam		alignments	GRCh38	ENCSR687RWI	long read RNA-seq	/human-donors/ENCDO000AAS/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											polyadenylated mRNA					forward	2021-12-13	ENCODE				1	1_1							/files/ENCFF717UEN/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF911UGW/	436776276	ENCODE Processing Pipeline	5cba60c3aa0c913300909674d09e7cd0		https://www.encodeproject.org/files/ENCFF049QIP/@@download/ENCFF049QIP.bam	V29			released	s3://encode-public/2021/12/13/873c9c21-f6d6-4063-bc9c-68a7a96e2232/ENCFF049QIP.bam	ENCODE4 v2.0.0 GRCh38 V29	released			
