dataset	sample	classification	health_status	sample_display
gm12878_1_1	gm12878	cell_line		GM12878
gm12878_1_2	gm12878	cell_line		GM12878
gm12878_1_3	gm12878	cell_line		GM12878
gm12878_1_4	gm12878	cell_line		GM12878
gm12878_3_1	gm12878	cell_line		GM12878
gm12878_2_1	gm12878	cell_line		GM12878
gm12878_2_2	gm12878	cell_line		GM12878
pgp1_1_1	pgp1	cell_line		PGP1
pgp1_1_2	pgp1	cell_line		PGP1
h9_1_1	h9	cell_line		H9
h9_1_2	h9	cell_line		H9
hct116_1_1	hct116	cell_line		HCT116
hepg2_2_1	hepg2	cell_line		HepG2
hepg2_2_2	hepg2	cell_line		HepG2
hepg2_1_1	hepg2	cell_line		HepG2
hffc6_1_1	hffc6	cell_line		HFFc6
hffc6_1_2	hffc6	cell_line		HFFc6
hffc6_1_3	hffc6	cell_line		HFFc6
hl60_1_1	hl60	cell_line		HL60
hl60_1_2	hl60	cell_line		HL60
imr90_1_1	imr90	cell_line		IMR-90
k562_2_1	k562	cell_line		K562
k562_2_2	k562	cell_line		K562
k562_1_1	k562	cell_line		K562
k562_3_1	k562	cell_line		K562
k562_3_2	k562	cell_line		K562
mcf7_1_1	mcf7	cell_line		MCF7
panc1_1_1	panc1	cell_line		PANC-1
pc3_1_1	pc3	cell_line		PC3
pgp1_astro_1_1	pgp1_astro	cell_line		PGP1-derived astrocytes
pgp1_astro_1_2	pgp1_astro	cell_line		PGP1-derived astrocytes
h9_chondro_1_1	h9_chondro	cell_line		H9-derived chondrocytes
h9_chondro_1_2	h9_chondro	cell_line		H9-derived chondrocytes
h9_chondro_1_3	h9_chondro	cell_line		H9-derived chondrocytes
h9_de_1_1	h9_de	cell_line		H9-derived definitive endoderm
h9_de_1_2	h9_de	cell_line		H9-derived definitive endoderm
pgp1_endo_1_1	pgp1_endo	cell_line		PGP1-derived endothelial
pgp1_endo_1_2	pgp1_endo	cell_line		PGP1-derived endothelial
pgp1_excite_neuron_1_1	pgp1_excite_neuron	cell_line		PGP1-derived excitatory neurons
pgp1_excite_neuron_1_2	pgp1_excite_neuron	cell_line		PGP1-derived excitatory neurons
h9_neural_crest_1_1	h9_neural_crest	cell_line		H9-derived neural crest
h9_neural_crest_1_2	h9_neural_crest	cell_line		H9-derived neural crest
h9_osteocyte_1_1	h9_osteocyte	cell_line		H9-derived osteocytes
h9_osteocyte_1_2	h9_osteocyte	cell_line		H9-derived osteocytes
h9_panc_progen_1_1	h9_panc_progen	cell_line		H9-derived pancreatic progenitors
h9_panc_progen_1_2	h9_panc_progen	cell_line		H9-derived pancreatic progenitors
h9_panc_beta_1_1	h9_panc_beta	cell_line		H9-derived pancreatic beta cells
h9_panc_beta_1_2	h9_panc_beta	cell_line		H9-derived pancreatic beta cells
adrenal_gland_1_1	adrenal gland	tissue		Adrenal gland
adrenal_gland_3_1	adrenal gland	tissue		Adrenal gland
adrenal_gland_2_1	adrenal gland	tissue		Adrenal gland
aorta_1_1	vessels	tissue		Vessels
aorta_2_1	vessels	tissue		Vessels
cardiac_septum_1_1	heart	tissue		Heart
heart_left_ventricle_4_1	heart	tissue		Heart
heart_left_ventricle_1_1	heart	tissue		Heart
heart_left_ventricle_3_1	heart	tissue		Heart
heart_left_ventricle_2_1	heart	tissue		Heart
heart_right_ventricle_1_1	heart	tissue		Heart
heart_right_ventricle_3_1	heart	tissue		Heart
heart_right_ventricle_2_1	heart	tissue		Heart
kidney_1_1	kidney	tissue		Kidney
left_cardiac_atrium_1_1	heart	tissue		Heart
left_colon_1_1	colon	tissue		Colon
left_lung_1_1	lung	tissue		Lung
left_lung_2_1	lung	tissue		Lung
left_ventricle_myocardium_inferior_1_1	heart	tissue		Heart
left_ventricle_myocardium_superior_1_1	heart	tissue		Heart
lower_lobe_of_left_lung_1_1	lung	tissue		Lung
lower_lobe_of_left_lung_2_1	lung	tissue		Lung
lower_lobe_of_right_lung_1_1	lung	tissue		Lung
mesenteric_fat_pad_1_1	adipose	tissue		Adipose
mucosa_of_descending_colon_1_1	colon	tissue		Colon
mucosa_of_descending_colon_2_1	colon	tissue		Colon
ovary_3_1	ovary	tissue		Ovary
ovary_1_1	ovary	tissue		Ovary
ovary_2_1	ovary	tissue		Ovary
posterior_vena_cava_1_1	vessels	tissue		Vessels
posterior_vena_cava_2_1	vessels	tissue		Vessels
psoas_muscle_2_1	muscle	tissue		Muscle
psoas_muscle_1_1	muscle	tissue		Muscle
right_cardiac_atrium_1_1	heart	tissue		Heart
right_cardiac_atrium_3_1	heart	tissue		Heart
right_cardiac_atrium_4_1	heart	tissue		Heart
right_cardiac_atrium_2_1	heart	tissue		Heart
right_lobe_of_liver_1_1	liver	tissue		Liver
right_lobe_of_liver_2_1	liver	tissue		Liver
right_ventricle_myocardium_inferior_1_1	heart	tissue		Heart
right_ventricle_myocardium_superior_1_1	heart	tissue		Heart
upper_lobe_of_right_lung_1_1	lung	tissue		Lung
huvec_1_1	huvec	cell_line		HUVEC
huvec_1_2	huvec	cell_line		HUVEC
hmec_1_1	hmec	cell_line		HMEC
hmec_1_2	hmec	cell_line		HMEC
wtc11_1_1	wtc11	cell_line		WTC11
wtc11_1_2	wtc11	cell_line		WTC11
wtc11_1_3	wtc11	cell_line		WTC11
h1_1_1	h1	cell_line		H1
h1_1_2	h1	cell_line		H1
h1_1_3	h1	cell_line		H1
hl60_m1_72hr_1_1	hl60_m1_72hr	cell_line		HL60-derived M1 macrophages 72 hr
hl60_m1_72hr_1_2	hl60_m1_72hr	cell_line		HL60-derived M1 macrophages 72 hr
hl60_m2_12hr_1_1	hl60_m2_12hr	cell_line		HL60-derived M2 macrophages 12 hr
hl60_m2_12hr_1_2	hl60_m2_12hr	cell_line		HL60-derived M2 macrophages 12 hr
caco2_1_1	caco2	cell_line		Caco2
caco2_1_2	caco2	cell_line		Caco2
hl60_m1_12hr_1_1	hl60_m1_12hr	cell_line		HL60-derived M1 macrophages 12 hr
hl60_m1_12hr_1_2	hl60_m1_12hr	cell_line		HL60-derived M1 macrophages 12 hr
ocily7_1_1	ocily7	cell_line		OCILY7
ocily7_1_2	ocily7	cell_line		OCILY7
mcf10a_1_1	mcf10a	cell_line		MCF10A
mcf10a_1_2	mcf10a	cell_line		MCF10A
pc9_1_1	pc9	cell_line		PC9
pc9_1_2	pc9	cell_line		PC9
hl60_m2_72hr_1_1	hl60_m2_72hr	cell_line		HL60-derived M2 macrophages 72 hr
hl60_m2_72hr_1_2	hl60_m2_72hr	cell_line		HL60-derived M2 macrophages 72 hr
hl60_m0_1_1	hl60_m0	cell_line		HL60-derived M0 macrophages
hl60_m0_1_2	hl60_m0	cell_line		HL60-derived M0 macrophages
hl60_m1_24hr_1_1	hl60_m1_24hr	cell_line		HL60-derived M1 macrophages 24 hr
hl60_m1_24hr_1_2	hl60_m1_24hr	cell_line		HL60-derived M1 macrophages 24 hr
hl60_m2_24hr_1_1	hl60_m2_24hr	cell_line		HL60-derived M2 macrophages 24 hr
hl60_m2_24hr_1_2	hl60_m2_24hr	cell_line		HL60-derived M2 macrophages 24 hr
a673_1_1	a673	cell_line		A673
a673_1_2	a673	cell_line		A673
h1_de_1_1	h1_de	cell_line		H1-derived definitive endoderm
h1_de_1_2	h1_de	cell_line		H1-derived definitive endoderm
h1_de_1_3	h1_de	cell_line		H1-derived definitive endoderm
calu3_1_1	calu3	cell_line		Calu-3
calu3_1_2	calu3	cell_line		Calu-3
brodmann_area_46_1_1	brain	tissue	healthy	Brain
brodmann_area_46_7_1	brain	tissue	healthy	Brain
brodmann_area_46_5_1	brain	tissue	AD	Brain
brodmann_area_46_6_1	brain	tissue	AD	Brain
brodmann_area_46_8_1	brain	tissue	AD	Brain
