	max_isos_sample	max_sample	annot_gene_name	annot_gene_id
35598	134.0	h9_chondro	ELN	ENSG00000049540.16
38575	66.0	hl60_m1_72hr	CTSB	ENSG00000164733.20
46941	64.0	lung	SFTPA1	ENSG00000122852.14
14203	55.0	h9_chondro	FN1	ENSG00000115414.18
73758	54.0	heart	ACADVL	ENSG00000072778.19
63445	51.0	hl60_m1_72hr	NUMB	ENSG00000133961.20
66442	47.0	heart	TPM1	ENSG00000140416.20
44039	46.0	heart	GSN	ENSG00000148180.19
31534	45.0	heart	SLC29A1	ENSG00000112759.17
14528	45.0	heart	DES	ENSG00000175084.11
26907	44.0	heart	PAM	ENSG00000145730.20
8394	43.0	brain	GUK1	ENSG00000143774.16
7558	43.0	hl60_m0	CHI3L1	ENSG00000133048.12
26825	43.0	heart	CAST	ENSG00000153113.23
51885	41.0	hl60_m0	TCIRG1	ENSG00000110719.9
43196	41.0	h1	HNRNPK	ENSG00000165119.20
39897	41.0	heart	ASPH	ENSG00000198363.17
77397	39.0	brain	SEPT4	ENSG00000108387.14
56452	39.0	colon	KRT8	ENSG00000170421.12
33777	39.0	heart	SUN1	ENSG00000164828.17
65013	38.0	brain	SNRPN	ENSG00000128739.22
13513	38.0	h9_chondro	COL3A1	ENSG00000168542.14
66390	38.0	hffc6	ANXA2	ENSG00000182718.16
6908	38.0	hffc6	GAS5	ENSG00000234741.7
91814	38.0	hl60	GGT1	ENSG00000100031.18
38731	37.0	heart	ASAH1	ENSG00000104763.18
61542	37.0	brain	NDRG2	ENSG00000165795.23
80914	37.0	brain	MBP	ENSG00000197971.14
61894	37.0	heart	MYH6	ENSG00000197616.11
64359	37.0	hl60_m0	WARS	ENSG00000140105.17
64397	37.0	brain	MEG3	ENSG00000214548.16
23062	36.0	brain	MAPK10	ENSG00000109339.21
81244	36.0	brain	CIRBP	ENSG00000099622.13
40896	36.0	hl60_m0	DCSTAMP	ENSG00000164935.6
11268	35.0	lung	SFTPB	ENSG00000168878.16
78652	34.0	hl60_m0	TMC6	ENSG00000141524.15
66885	34.0	heart	PKM	ENSG00000067225.17
53875	34.0	h9	HSPA8	ENSG00000109971.13
88400	34.0	heart	ENTPD6	ENSG00000197586.12
56941	34.0	lung	MYL6	ENSG00000092841.18
45107	33.0	heart	DPP7	ENSG00000176978.13
38872	33.0	lung	SFTPC	ENSG00000168484.12
59022	33.0	gm12878	RPLP0	ENSG00000089157.15
89630	32.0	h1	GNAS	ENSG00000087460.24
46662	32.0	hl60_m0	PSAP	ENSG00000197746.13
90875	32.0	wtc11	CBS	ENSG00000160200.17
15296	32.0	h9_neural_crest	SEPT2	ENSG00000168385.17
68752	32.0	k562	RPS2	ENSG00000140988.15
68463	32.0	heart	RHOT2	ENSG00000140983.13
20751	31.0	h9_panc_progen	EIF4A2	ENSG00000156976.16
64665	31.0	brain	KLC1	ENSG00000126214.21
29043	31.0	vessels	DBN1	ENSG00000113758.13
66942	31.0	hl60_m1_72hr	ADPGK	ENSG00000159322.17
41608	30.0	ovary	EEF1D	ENSG00000104529.17
63968	30.0	heart	DGLUCY	ENSG00000133943.20
35013	30.0	heart	MYL7	ENSG00000106631.8
49972	29.0	lung	CD44	ENSG00000026508.18
11775	29.0	hepg2	MAP4K4	ENSG00000071054.16
88748	29.0	hepg2	RBM39	ENSG00000131051.22
84247	29.0	h1_de	DMKN	ENSG00000161249.20
5668	29.0	wtc11	UBAP2L	ENSG00000143569.18
79047	28.0	hepg2	P4HB	ENSG00000185624.14
49387	28.0	heart	DKK3	ENSG00000050165.17
56298	28.0	hl60	LETMD1	ENSG00000050426.15
30435	28.0	lung	HLA-C	ENSG00000204525.16
624	28.0	gm12878	ENO1	ENSG00000074800.15
54550	27.0	heart	GAPDH	ENSG00000111640.14
82939	27.0	lung	DDX39A	ENSG00000123136.14
71421	27.0	heart	NDRG4	ENSG00000103034.14
63321	27.0	brain	SRSF5	ENSG00000100650.15
42397	26.0	h9_neural_crest	APTX	ENSG00000137074.18
29181	26.0	h9_neural_crest	HNRNPH1	ENSG00000169045.17
69122	26.0	hepg2	IL32	ENSG00000008517.16
59355	26.0	brain	ARL6IP4	ENSG00000182196.13
122596	26.0	heart	MYBPC3	ENSG00000134571.10
92744	26.0	gm12878	RPL3	ENSG00000100316.15
56701	26.0	h9_panc_beta	HNRNPA1	ENSG00000135486.17
33866	26.0	hl60_m2_24hr	MAD1L1	ENSG00000002822.15
79118	26.0	k562	PYCR1	ENSG00000183010.16
78155	26.0	lung	NAT9	ENSG00000109065.11
17202	26.0	heart	AMT	ENSG00000145020.15
61584	26.0	gm12878	HNRNPC	ENSG00000092199.17
22961	26.0	hepg2	SEC31A	ENSG00000138674.16
27745	26.0	h1	MATR3	ENSG00000015479.18
81169	26.0	heart	TMEM259	ENSG00000182087.13
41281	26.0	k562	FAM49B	ENSG00000153310.19
64982	26.0	k562	NIPA2	ENSG00000140157.14
50	25.0	k562	NOC2L	ENSG00000188976.10
95252	25.0	hffc6	ARMCX2	ENSG00000184867.13
61897	25.0	heart	MYH7	ENSG00000092054.12
49354	25.0	h1_de	EIF4G2	ENSG00000110321.16
20604	25.0	h1	EIF4G1	ENSG00000114867.20
85713	25.0	heart	DMPK	ENSG00000104936.17
35879	25.0	heart	CD36	ENSG00000135218.18
8005	25.0	h1	VASH2	ENSG00000143494.15
85609	25.0	heart	CKM	ENSG00000104879.4
8371	25.0	lung	MRPL55	ENSG00000162910.18
215	25.0	heart	MIB2	ENSG00000197530.12
34447	25.0	h1	HNRNPA2B1	ENSG00000122566.21
48516	25.0	lung	RNH1	ENSG00000023191.16
74407	25.0	hffc6	LRRC75A-AS1	ENSG00000175061.17
6081	25.0	brain	C1orf61	ENSG00000125462.16
64645	25.0	brain	CKB	ENSG00000166165.12
2761	25.0	hl60_m2_12hr	ARMH1	ENSG00000198520.11
14686	25.0	heart	MFF	ENSG00000168958.19
14847	24.0	brain	PTMA	ENSG00000187514.16
92011	24.0	h1_de	EWSR1	ENSG00000182944.17
82441	24.0	h1_de	SMARCA4	ENSG00000127616.18
17716	24.0	h1	ESRG	ENSG00000265992.1
68859	24.0	brain	MLST8	ENSG00000167965.17
45631	24.0	vessels	VIM	ENSG00000026025.15
54914	24.0	wtc11	PHC1	ENSG00000111752.10
15323	24.0	heart	STK25	ENSG00000115694.14
24837	24.0	heart	SORBS2	ENSG00000154556.18
23437	24.0	heart	UBE2D3	ENSG00000109332.19
91406	24.0	heart	TANGO2	ENSG00000183597.15
77773	24.0	h9_neural_crest	DDX5	ENSG00000108654.14
73528	24.0	heart	ENO3	ENSG00000108515.17
79275	24.0	ocily7	CYBC1	ENSG00000178927.17
95962	24.0	h9_osteocyte	FHL1	ENSG00000022267.16
75033	24.0	h9	RAB34	ENSG00000109113.19
31922	24.0	hl60_m2_72hr	EEF1A1	ENSG00000156508.17
48848	24.0	heart	NAP1L4	ENSG00000205531.12
60237	23.0	h9_chondro	POSTN	ENSG00000133110.14
13596	23.0	hl60_m1_72hr	STAT1	ENSG00000115415.18
1530	23.0	lung	UBXN11	ENSG00000158062.20
88450	23.0	hepg2	HM13	ENSG00000101294.17
72414	23.0	brain	CMC2	ENSG00000103121.8
42578	23.0	gm12878	VCP	ENSG00000165280.15
29356	23.0	hffc6	RACK1	ENSG00000204628.11
56468	23.0	h9_neural_crest	EIF4B	ENSG00000063046.17
46014	23.0	heart	CREM	ENSG00000095794.19
78958	22.0	colon	ACTG1	ENSG00000184009.11
82392	22.0	h1	ILF3	ENSG00000129351.17
4542	22.0	gm12878	DRAM2	ENSG00000156171.14
35304	22.0	hl60_m2_72hr	SUMF2	ENSG00000129103.17
72954	22.0	colon	CDK10	ENSG00000185324.21
25634	22.0	colon	SELENOP	ENSG00000250722.5
64782	22.0	heart	AKT1	ENSG00000142208.16
21458	22.0	lung	MFSD10	ENSG00000109736.14
17823	22.0	hl60	PXK	ENSG00000168297.15
54730	22.0	hl60_m0	PTPN6	ENSG00000111679.16
68155	22.0	hl60_m0	LINC02244	ENSG00000259590.1
44986	22.0	huvec	EGFL7	ENSG00000172889.15
55056	22.0	muscle	YBX3	ENSG00000060138.12
14563	22.0	heart	OBSL1	ENSG00000124006.14
47217	22.0	h9_de	CYP26A1	ENSG00000095596.11
20597	22.0	heart	PSMD2	ENSG00000175166.16
58243	22.0	muscle	MYBPC1	ENSG00000196091.13
57119	22.0	h9_osteocyte	SHMT2	ENSG00000182199.10
