Experiment	Model	AIC
GM12878_ENCSR706ANY	TPM_DHS_length	9775.55153562795
GM12878_ENCSR838WFC	TPM_DHS_length	7298.40452531491
GM12878_ENCSR962BVU	TPM_DHS_length	11669.8775380442
K562_ENCSR526TQU	TPM_DHS_length	7908.31843490242
K562_ENCSR589FUJ	TPM_DHS_length	7665.37377568385
K562_ENCSR983KDL	TPM_DHS_length	9718.13695759871
GM12878_ENCSR706ANY	TPM_DHS	10673.8259376781
GM12878_ENCSR838WFC	TPM_DHS	8020.16257729613
GM12878_ENCSR962BVU	TPM_DHS	12817.524067902
K562_ENCSR526TQU	TPM_DHS	8633.0046573469
K562_ENCSR589FUJ	TPM_DHS	8384.59821550946
K562_ENCSR983KDL	TPM_DHS	10576.7711292529
GM12878_ENCSR706ANY	TPM_length	12754.9239175381
GM12878_ENCSR838WFC	TPM_length	9733.36132910299
GM12878_ENCSR962BVU	TPM_length	16428.2524813649
K562_ENCSR526TQU	TPM_length	12965.2494315673
K562_ENCSR589FUJ	TPM_length	11165.9778722269
K562_ENCSR983KDL	TPM_length	17548.4988101435
GM12878_ENCSR706ANY	TPM	14312.7520149219
GM12878_ENCSR838WFC	TPM	11113.2102797746
GM12878_ENCSR962BVU	TPM	18709.976870745
K562_ENCSR526TQU	TPM	14746.9423698952
K562_ENCSR589FUJ	TPM	12695.1859547417
K562_ENCSR983KDL	TPM	20102.7698845322
GM12878_ENCSR706ANY	DHS_length	10777.3050775825
GM12878_ENCSR838WFC	DHS_length	7975.71115314765
GM12878_ENCSR962BVU	DHS_length	12704.2571824203
K562_ENCSR526TQU	DHS_length	8385.15267883091
K562_ENCSR589FUJ	DHS_length	8255.15931458451
K562_ENCSR983KDL	DHS_length	10090.4120472327
GM12878_ENCSR706ANY	DHS	11915.8481573698
GM12878_ENCSR838WFC	DHS	8917.57330817268
GM12878_ENCSR962BVU	DHS	14063.3956358164
K562_ENCSR526TQU	DHS	9243.31867645763
K562_ENCSR589FUJ	DHS	9107.18298370502
K562_ENCSR983KDL	DHS	11057.4927724396
GM12878_ENCSR706ANY	length	15368.6492226249
GM12878_ENCSR838WFC	length	11676.0371788216
GM12878_ENCSR962BVU	length	19695.6662196433
K562_ENCSR526TQU	length	14817.3505309578
K562_ENCSR589FUJ	length	13221.5287710343
K562_ENCSR983KDL	length	19573.1662784109
