Experiment	Model	AIC
GM12878_ENCSR706ANY	TPM_DHS_length	3323.25262671108
GM12878_ENCSR838WFC	TPM_DHS_length	3484.97467381805
GM12878_ENCSR962BVU	TPM_DHS_length	2512.95428900307
K562_ENCSR526TQU	TPM_DHS_length	2975.65604105062
K562_ENCSR589FUJ	TPM_DHS_length	1673.24735506735
K562_ENCSR983KDL	TPM_DHS_length	5073.45895428655
GM12878_ENCSR706ANY	TPM_DHS	4211.48475106923
GM12878_ENCSR838WFC	TPM_DHS	4077.43965708403
GM12878_ENCSR962BVU	TPM_DHS	3554.60658858447
K562_ENCSR526TQU	TPM_DHS	3301.76361412937
K562_ENCSR589FUJ	TPM_DHS	1922.17078128665
K562_ENCSR983KDL	TPM_DHS	5636.65285252492
GM12878_ENCSR706ANY	TPM_length	5895.72766131026
GM12878_ENCSR838WFC	TPM_length	6518.36951405776
GM12878_ENCSR962BVU	TPM_length	4638.75907510977
K562_ENCSR526TQU	TPM_length	6172.48636949795
K562_ENCSR589FUJ	TPM_length	3391.77768882918
K562_ENCSR983KDL	TPM_length	11221.8681146883
GM12878_ENCSR706ANY	TPM	10019.0304552841
GM12878_ENCSR838WFC	TPM	9657.40192333264
GM12878_ENCSR962BVU	TPM	8588.78452428521
K562_ENCSR526TQU	TPM	10182.3686768178
K562_ENCSR589FUJ	TPM	6039.00668183347
K562_ENCSR983KDL	TPM	18651.2789698207
GM12878_ENCSR706ANY	DHS_length	3381.80409751977
GM12878_ENCSR838WFC	DHS_length	3709.34477784008
GM12878_ENCSR962BVU	DHS_length	2559.12918712051
K562_ENCSR526TQU	DHS_length	3095.63577012812
K562_ENCSR589FUJ	DHS_length	1794.62998059237
K562_ENCSR983KDL	DHS_length	5256.26833533021
GM12878_ENCSR706ANY	DHS	4274.06661492668
GM12878_ENCSR838WFC	DHS	4381.20220359944
GM12878_ENCSR962BVU	DHS	3584.92301171435
K562_ENCSR526TQU	DHS	3406.46670226275
K562_ENCSR589FUJ	DHS	2018.40996635723
K562_ENCSR983KDL	DHS	5795.5382130146
GM12878_ENCSR706ANY	length	6193.15959703593
GM12878_ENCSR838WFC	length	7696.5832071349
GM12878_ENCSR962BVU	length	4941.63382234325
K562_ENCSR526TQU	length	6934.86058208293
K562_ENCSR589FUJ	length	3722.91818512436
K562_ENCSR983KDL	length	12838.1824645432
