ENCFF684SLZ	adrenal-18-20mo-m-1
ENCFF643TDK	gastroc-4d-m-1
ENCFF821NRP	gastroc-4d-m-2
ENCFF800GKP	heart-18-20mo-m-1
ENCFF510KLD	heart-18-20mo-m-2
ENCFF524FPE	gastroc-14d-f-2
ENCFF736MDK	gastroc-14d-f-1
ENCFF984UIN	gastroc-25d-m-2
ENCFF960HIF	gastroc-25d-m-1
ENCFF691BND	cortex-18-20mo-m-1
ENCFF603QTD	cortex-18-20mo-m-2
ENCFF917ONC	heart-18-20mo-f-1
ENCFF688VMD	heart-18-20mo-f-2
ENCFF871UCZ	gastroc-25d-f-1
ENCFF481DML	gastroc-25d-f-2
ENCFF254GFU	cortex-14d-m-1
ENCFF816VUM	cortex-14d-m-2
ENCFF691USV	gastroc-10d-f-2
ENCFF790IBF	gastroc-10d-f-1
ENCFF297ZHK	adrenal-36d-m-2
ENCFF012CDD	adrenal-36d-m-1
ENCFF402PHJ	adrenal-14d-f-2
ENCFF094ZZY	adrenal-14d-f-1
ENCFF379DRK	adrenal-14d-m-2
ENCFF495FTY	adrenal-14d-m-1
ENCFF571ZLW	adrenal-4d-m-2
ENCFF545VGM	adrenal-4d-m-1
ENCFF254PCW	hippocampus-2mo-f-1
ENCFF212YBY	hippocampus-2mo-f-2
ENCFF637NBP	adrenal-25d-f-2
ENCFF833EUH	adrenal-25d-f-1
ENCFF054XPK	cortex-18-20mo-f-1
ENCFF269APD	cortex-18-20mo-f-2
ENCFF867QMB	heart-14d-m-2
ENCFF953BLN	heart-14d-m-1
ENCFF943KQU	adrenal-2mo-m-2
ENCFF069HPA	adrenal-2mo-m-1
ENCFF983CFK	adrenal-4d-f-2
ENCFF402MIP	adrenal-4d-f-1
ENCFF898YPG	adrenal-36d-f-2
ENCFF083AGY	adrenal-36d-f-1
ENCFF261QFC	adrenal-10d-m-2
ENCFF336YOF	adrenal-10d-m-1
ENCFF291MJO	adrenal-2mo-f-1
ENCFF685SKU	adrenal-2mo-f-2
ENCFF550NPJ	adrenal-10d-f-1
ENCFF218PAQ	adrenal-10d-f-2
ENCFF882CXN	gastroc-36d-f-2
ENCFF183WGH	gastroc-36d-f-1
ENCFF484SWE	cortex-2mo-f-1
ENCFF981KWX	cortex-2mo-f-2
ENCFF523LUA	gastroc-18-20mo-f-2
ENCFF033HBE	gastroc-18-20mo-f-1
ENCFF600WNB	hippocampus-18-20mo-m-2
ENCFF128HJT	hippocampus-18-20mo-m-1
ENCFF495MGN	gastroc-10d-m-1
ENCFF690TKD	gastroc-10d-m-2
ENCFF757HQI	gastroc-4d-f-2
ENCFF107OBP	gastroc-4d-f-1
ENCFF246TCD	heart-2mo-f-1
ENCFF348KGR	heart-2mo-f-2
ENCFF584LYA	gastroc-18-20mo-m-1
ENCFF715RFV	gastroc-18-20mo-m-2
ENCFF201NMX	hippocampus-18-20mo-f-2
ENCFF973YHW	hippocampus-18-20mo-f-1
ENCFF277JRJ	cortex-2mo-m-1
ENCFF792XAE	cortex-2mo-m-2
ENCFF137SHD	gastroc-14d-m-2
ENCFF544KTY	gastroc-14d-m-1
ENCFF647URO	cortex-14d-f-1
ENCFF563NJO	cortex-14d-f-2
ENCFF769MAL	heart-2mo-m-2
ENCFF150RFK	heart-2mo-m-1
ENCFF572WXI	hippocampus-2mo-m-1
ENCFF436RSJ	hippocampus-2mo-m-2
ENCFF958QWV	gastroc-2mo-m-2
ENCFF291WVH	gastroc-2mo-m-1
ENCFF524QBF	gastroc-36d-m-1
ENCFF550PLW	gastroc-36d-m-2
ENCFF721JWI	gastroc-2mo-f-2
ENCFF385JNL	gastroc-2mo-f-1
ENCFF245XSW	heart-14d-f-1
ENCFF951AXN	heart-14d-f-2
ENCFF587QKV	hippocampus-14d-m-2
ENCFF753VCG	hippocampus-14d-m-1
ENCFF083NGA	hippocampus-14d-f-2
ENCFF176XZM	hippocampus-14d-f-1
ENCFF886RIS	adrenal-25d-m-1
ENCFF664ZFM	adrenal-25d-m-2
ENCFF745YKM	adrenal-18-20mo-f-1
ENCFF331LQP	adrenal-18-20mo-f-2
ENCFF945QSC	f1219-1-1
ENCFF240QMR	f1219-1-2
ENCFF697PDG	f1219-1-3
ENCFF202MCY	c2c12-myotube-1-1
ENCFF396UFT	c2c12-myotube-1-2
ENCFF839PZB	cortex-wt-m-1-1
ENCFF773TTA	cortex-wt-m-1-2
ENCFF131HHK	hippocampus-wt-m-2-1
ENCFF764ZXE	hippocampus-wt-m-2-2
ENCFF408MUF	c2c12-myoblast-1-1
ENCFF652XIT	c2c12-myoblast-1-2
ENCFF694ZVY	adrenal-gland-2-1
ENCFF343ZMH	adrenal-gland-2-2
