dataset	b6cast	tissue	age	sex	rep	5x_v_wt	disease_status	forelimb	c2c12	f1219	adrenal	sample	hr	classification	sample_display
adrenal_gland_2_1	FALSE	adrenal				FALSE		FALSE	FALSE	FALSE	TRUE	adrenal	adrenal_gland_2_1	tissue	Adrenal gland
adrenal_gland_2_2	FALSE	adrenal				FALSE		FALSE	FALSE	FALSE	TRUE	adrenal	adrenal_gland_2_2	tissue	Adrenal gland
adrenal_gland_1_1	FALSE	adrenal				FALSE		FALSE	FALSE	FALSE	TRUE	adrenal	adrenal_gland_1_1	tissue	Adrenal gland
adrenal_gland_1_2	FALSE	adrenal				FALSE		FALSE	FALSE	FALSE	TRUE	adrenal	adrenal_gland_1_2	tissue	Adrenal gland
adrenal_10d_m_2	TRUE	adrenal	10d	m	2							adrenal_10d	adrenal_10d_m_2	tissue	Adrenal gland PND10
adrenal_10d_m_1	TRUE	adrenal	10d	m	1							adrenal_10d	adrenal_10d_m_1	tissue	Adrenal gland PND10
adrenal_10d_f_1	TRUE	adrenal	10d	f	1							adrenal_10d	adrenal_10d_f_1	tissue	Adrenal gland PND10
adrenal_10d_f_2	TRUE	adrenal	10d	f	2							adrenal_10d	adrenal_10d_f_2	tissue	Adrenal gland PND10
adrenal_14d_f_2	TRUE	adrenal	14d	f	2							adrenal_14d	adrenal_14d_f_2	tissue	Adrenal gland PND14
adrenal_14d_f_1	TRUE	adrenal	14d	f	1							adrenal_14d	adrenal_14d_f_1	tissue	Adrenal gland PND14
adrenal_14d_m_2	TRUE	adrenal	14d	m	2							adrenal_14d	adrenal_14d_m_2	tissue	Adrenal gland PND14
adrenal_14d_m_1	TRUE	adrenal	14d	m	1							adrenal_14d	adrenal_14d_m_1	tissue	Adrenal gland PND14
adrenal_18-20mo_m_1	TRUE	adrenal	18-20mo	m	1							adrenal_18-20mo	adrenal_18-20mo_m_1	tissue	Adrenal gland PNM18-20
adrenal_18-20mo_f_1	TRUE	adrenal	18-20mo	f	1							adrenal_18-20mo	adrenal_18-20mo_f_1	tissue	Adrenal gland PNM18-20
adrenal_18-20mo_f_2	TRUE	adrenal	18-20mo	f	2							adrenal_18-20mo	adrenal_18-20mo_f_2	tissue	Adrenal gland PNM18-20
adrenal_25d_f_2	TRUE	adrenal	25d	f	2							adrenal_25d	adrenal_25d_f_2	tissue	Adrenal gland PND25
adrenal_25d_f_1	TRUE	adrenal	25d	f	1							adrenal_25d	adrenal_25d_f_1	tissue	Adrenal gland PND25
adrenal_25d_m_1	TRUE	adrenal	25d	m	1							adrenal_25d	adrenal_25d_m_1	tissue	Adrenal gland PND25
adrenal_25d_m_2	TRUE	adrenal	25d	m	2							adrenal_25d	adrenal_25d_m_2	tissue	Adrenal gland PND25
adrenal_2mo_m_2	TRUE	adrenal	2mo	m	2							adrenal_2mo	adrenal_2mo_m_2	tissue	Adrenal gland PNM2
adrenal_2mo_m_1	TRUE	adrenal	2mo	m	1							adrenal_2mo	adrenal_2mo_m_1	tissue	Adrenal gland PNM2
adrenal_2mo_f_1	TRUE	adrenal	2mo	f	1							adrenal_2mo	adrenal_2mo_f_1	tissue	Adrenal gland PNM2
adrenal_2mo_f_2	TRUE	adrenal	2mo	f	2							adrenal_2mo	adrenal_2mo_f_2	tissue	Adrenal gland PNM2
adrenal_36d_m_2	TRUE	adrenal	36d	m	2							adrenal_36d	adrenal_36d_m_2	tissue	Adrenal gland PND36
adrenal_36d_m_1	TRUE	adrenal	36d	m	1							adrenal_36d	adrenal_36d_m_1	tissue	Adrenal gland PND36
adrenal_36d_f_2	TRUE	adrenal	36d	f	2							adrenal_36d	adrenal_36d_f_2	tissue	Adrenal gland PND36
adrenal_36d_f_1	TRUE	adrenal	36d	f	1							adrenal_36d	adrenal_36d_f_1	tissue	Adrenal gland PND36
adrenal_4d_m_2	TRUE	adrenal	4d	m	2							adrenal_4d	adrenal_4d_m_2	tissue	Adrenal gland PND4
adrenal_4d_m_1	TRUE	adrenal	4d	m	1							adrenal_4d	adrenal_4d_m_1	tissue	Adrenal gland PND4
adrenal_4d_f_2	TRUE	adrenal	4d	f	2							adrenal_4d	adrenal_4d_f_2	tissue	Adrenal gland PND4
adrenal_4d_f_1	TRUE	adrenal	4d	f	1							adrenal_4d	adrenal_4d_f_1	tissue	Adrenal gland PND4
c2c12_myoblast_1_1	FALSE	c2c12_myoblast				FALSE		FALSE	TRUE			c2c12_myoblast	c2c12_myoblast_1_1	cell_line	C2C12
c2c12_myoblast_1_2	FALSE	c2c12_myoblast				FALSE		FALSE	TRUE			c2c12_myoblast	c2c12_myoblast_1_2	cell_line	C2C12
