biosample	classification	color
hffc6	cell_line	#98528D
h1	cell_line	#E76624
h1_de	cell_line	#C8403D
h9	cell_line	#9e4013
h9_chondro	cell_line	#811e18
h9_de	cell_line	#b04948
h9_panc_beta	cell_line	#c88a2c
h9_osteocyte	cell_line	#f5f5dc
h9_panc_progen	cell_line	#4c6216
h9_neural_crest	cell_line	#1a472a
hl60	cell_line	#d2b48c
hl60_m0	cell_line	#BDBDBD
hl60_m1_12hr	cell_line	#FCC5C0
hl60_m1_24hr	cell_line	#F984AB
hl60_m1_72hr	cell_line	#DD3497
hl60_m2_12hr	cell_line	#A6BDDB
hl60_m2_24hr	cell_line	#559DC8
hl60_m2_72hr	cell_line	#0570B0
a673	cell_line	#de3700
caco2	cell_line	#ff9000
calu3	cell_line	#009801
gm12878	cell_line	#0798c8
hct116	cell_line	#82ae4d
hepg2	cell_line	#660f26
hmec	cell_line	#9e99cd
huvec	cell_line	#9b009b
imr90	cell_line	#71145b
k562	cell_line	#2e0e6b
mcf10a	cell_line	#056879
mcf7	cell_line	#2f3d4a
ocily7	cell_line	#143727
panc1	cell_line	#6eb4cf
pc3	cell_line	#85927f
pc9	cell_line	#af7864
wtc11	cell_line	#ce661e
pgp1	cell_line	#1F709A
pgp1_astro	cell_line	#278D89
pgp1_endo	cell_line	#4FA770
pgp1_excite_neuron	cell_line	#92C051
adrenal gland	tissue	#e69b00
kidney	tissue	#2f357c
vessels	tissue	#e48171
muscle	tissue	#f6b3b0
liver	tissue	#ada43b
heart	tissue	#bf3729
ovary	tissue	#17154f
adipose	tissue	#f5bb50
lung	tissue	#6c5d9e
colon	tissue	#355828
brain	tissue	#b0799a
