experiment,biosample,threshold,num_replicates
ENCSR044ARQ,H9,7,2
ENCSR056MYH,h9_neural_crest,6,2
ENCSR071IHY,pgp1_astro,7,2
ENCSR081NRO,adrenal gland,10,1
ENCSR094NFM,brain,10,1
ENCSR096QUP,lung,10,1
ENCSR113MEY,imr90,10,1
ENCSR121FDE,hl60_m1_12hr,9,2
ENCSR127HKN,h1_de,4,3
ENCSR130CIK,h9_panc_beta,11,2
ENCSR138TAS,vessels,10,1
ENCSR148IIG,pgp1_endo,10,2
ENCSR159ICU,hl60_m2_72hr,10,2
ENCSR169YNI,brain,10,1
ENCSR181CES,Panc1,10,1
ENCSR194YUY,heart,10,1
ENCSR205QMF,brain,10,1
ENCSR243DYK,muscle,10,1
ENCSR257JBF,pgp1_excite_neuron,6,2
ENCSR257YUB,brain,10,1
ENCSR261GOA,lung,10,1
ENCSR271KEJ,h1,6,3
ENCSR278ZPI,hl60_m2_12hr,7,2
ENCSR293MOX,liver,10,1
ENCSR296PQZ,h9_osteocyte,7,2
ENCSR316ZTD,brain,10,1
ENCSR323XND,lung,10,1
ENCSR329ZQG,heart,10,1
ENCSR388RWE,HCT116,10,1
ENCSR398SKD,hl60_m1_72hr,9,2
ENCSR424QFN,heart,10,1
ENCSR425HFS,vessels,10,1
ENCSR426KOP,lung,10,1
ENCSR432YKA,kidney,10,1
ENCSR435UUS,heart,10,1
ENCSR450GAR,colon,10,1
ENCSR462COR,brain,10,1
ENCSR463IDK,brain,10,1
ENCSR470HYQ,h9_chondro,5,3
ENCSR477HHG,ovary,10,1
ENCSR507JOF,wtc11,6,3
ENCSR507WZC,ovary,10,1
ENCSR514YQN,heart,10,1
ENCSR526TQU,K562,10,1
ENCSR530BOC,h9_panc_progen,8,2
ENCSR546DFO,hl60_m0,8,2
ENCSR549ELD,heart,10,1
ENCSR553SVP,heart,10,1
ENCSR563RLX,adrenal gland,10,1
ENCSR575LWI,heart,10,1
ENCSR580IDG,caco2,7,2
ENCSR583KAF,hl60_m1_24hr,6,2
ENCSR583KCB,calu3,9,2
ENCSR587WPR,ovary,10,1
ENCSR589FUJ,K562,7,2
ENCSR591OZR,heart,10,1
ENCSR634AKC,HepG2,10,1
ENCSR648QZP,adipose,10,1
ENCSR657HJW,liver,10,1
ENCSR676IWT,pgp1,6,2
ENCSR687RWI,huvec,8,2
ENCSR690QHM,brain,10,1
ENCSR697ASE,brain,10,1
ENCSR700EBI,vessels,10,1
ENCSR700SUP,OCILY7,7,2
ENCSR700XDQ,heart,10,1
ENCSR706ANY,GM12878,4,4
ENCSR728TXV,heart,10,1
ENCSR746ITG,lung,10,1
ENCSR777CCI,heart,10,1
ENCSR782LGT,heart,10,1
ENCSR786FLO,heart,10,1
ENCSR803QWH,muscle,10,1
ENCSR803XXZ,colon,10,1
ENCSR810XLL,mcf7,10,1
ENCSR813UIT,mcf10a,7,2
ENCSR834DQL,HepG2,9,2
ENCSR838WFC,GM12878,9,2
ENCSR853YZN,vessels,10,1
ENCSR887LTD,hl60,10,2
ENCSR899GAP,heart,10,1
ENCSR902GAF,HFFc6,6,3
ENCSR904KAT,h9_de,8,2
ENCSR916JDV,pc9,8,2
ENCSR930GRQ,hl60_m2_24hr,7,2
ENCSR947JHA,pc3,10,1
ENCSR962BVU,GM12878,10,1
ENCSR983KDL,K562,10,2
ENCSR984OAE,heart,10,1
ENCSR986WKB,lung,10,1
ENCSR989ZYL,a673,7,2
ENCSR994YZY,heart,10,1
ENCSR995WKW,adrenal gland,10,1
ENCSR997RFW,colon,10,1
ENCSR998KIZ,hmec,8,2
