ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR914ALB/	ENCSR914ALB	RNA-seq	total RNA-seq				Homo sapiens WTC11, 6 days post differentiation	WTC11	GEO:GSE219903	Homo sapiens cardiomyocytes in vitro differentiated originated from WTC11 cells, 6 days after differentiation	Will Greenleaf, Stanford	ENCODE	released	/files/ENCFF407SUS/,/files/ENCFF949DKJ/,/files/ENCFF553FOX/,/files/ENCFF553THN/,/files/ENCFF899QFW/,/files/ENCFF156UBX/,/files/ENCFF215ZJA/,/files/ENCFF678SXK/,/files/ENCFF413BHY/,/files/ENCFF297ZGG/,/files/ENCFF683GDZ/,/files/ENCFF058SJS/,/files/ENCFF143JQC/,/files/ENCFF556NUG/,/files/ENCFF585DUW/,/files/ENCFF320YXR/,/files/ENCFF651WZL/,/files/ENCFF280QZQ/	/differentiation-series/ENCSR318BKN/	ENCBS180JSX,ENCBS817RRI	1,2	1		Homo sapiens	adult	30 years												/replicates/44975e0d-c26f-4faa-82dd-b5d67dbf8fef/,/replicates/65cc6dd6-fc5d-46f3-a58c-5d82206ff0d7/				
/experiments/ENCSR411MUF/	ENCSR411MUF	RNA-seq	total RNA-seq				Homo sapiens CD4-positive, alpha-beta T cell male adult (20 years)	CD4-positive, alpha-beta T cell	GEO:GSE187467	CD4+ T cells (CD3+CD4+)	Barbara Wold, Caltech	ENCODE	released	/files/ENCFF901MPS/,/files/ENCFF068AXM/,/files/ENCFF376QFT/,/files/ENCFF954SRP/,/files/ENCFF515TIF/,/files/ENCFF699EVH/,/files/ENCFF552YWA/,/files/ENCFF747OMM/,/files/ENCFF537ODI/,/files/ENCFF232RTU/,/files/ENCFF282NLG/		ENCBS984FMU	1	1		Homo sapiens	adult	20 years												/replicates/65b8bc35-c981-4660-9c45-2d3e2bc1ea1b/				
/experiments/ENCSR152FDX/	ENCSR152FDX	RNA-seq	total RNA-seq				Homo sapiens activated naive CD4-positive, alpha-beta T cell male adult (43 years) treated with anti-CD3 and anti-CD28 coated beads for 36 hours, 10 ng/mL Interleukin-2 for 5 days	activated naive CD4-positive, alpha-beta T cell	GEO:GSE187126	Naïve CD4+ T cell, activated Day 7	Barbara Wold, Caltech	ENCODE	released	/files/ENCFF111XOI/,/files/ENCFF144HUJ/,/files/ENCFF489OCT/,/files/ENCFF171GXM/,/files/ENCFF241XGU/,/files/ENCFF449IHE/,/files/ENCFF227XZD/,/files/ENCFF969VXC/,/files/ENCFF361WVC/,/files/ENCFF107EYD/,/files/ENCFF577SCN/		ENCBS125FDB	1	1		Homo sapiens	adult	43 years	anti-CD3 and anti-CD28 coated beads,Interleukin-2	UniProtKB:P60568	10	ng/mL	36,5	hour,day						/replicates/13cee636-2c27-4435-9395-bb028cd40056/				
/experiments/ENCSR437HKI/	ENCSR437HKI	RNA-seq	total RNA-seq				Homo sapiens activated naive CD8-positive, alpha-beta T cell male adult (30 years) treated with 10 ng/mL Interleukin-2 for 5 days, anti-CD3 and anti-CD28 coated beads for 7 days	activated naive CD8-positive, alpha-beta T cell	GEO:GSE187654	naive CD8+ cell, activated Day 7	Barbara Wold, Caltech	ENCODE	released	/files/ENCFF184NJE/,/files/ENCFF762WJG/,/files/ENCFF922HQV/,/files/ENCFF370ENN/,/files/ENCFF530ORL/,/files/ENCFF613RIH/,/files/ENCFF237QNH/,/files/ENCFF181AQX/,/files/ENCFF581KGF/,/files/ENCFF894UNP/,/files/ENCFF102NAI/		ENCBS454JUB	1	1		Homo sapiens	adult	30 years	Interleukin-2,anti-CD3 and anti-CD28 coated beads	UniProtKB:P60568	10	ng/mL	5,7	day						/replicates/c949fc73-a48e-451e-8f70-6fbd4c02993b/				
/experiments/ENCSR458FZP/	ENCSR458FZP	RNA-seq	total RNA-seq				Homo sapiens activated naive CD4-positive, alpha-beta T cell male adult (43 years) treated with anti-CD3 and anti-CD28 coated beads for 36 hours, 10 ng/mL Interleukin-2 for 5 days	activated naive CD4-positive, alpha-beta T cell	GEO:GSE187869	Naïve CD4+ T cell, activated Day 7	Barbara Wold, Caltech	ENCODE	released	/files/ENCFF082WWV/,/files/ENCFF349YCJ/,/files/ENCFF020TGM/,/files/ENCFF579RCV/,/files/ENCFF286TKQ/,/files/ENCFF866KGD/,/files/ENCFF034HTR/,/files/ENCFF198FII/,/files/ENCFF687UQX/,/files/ENCFF467RFT/,/files/ENCFF603VKW/		ENCBS917XRI	1	1		Homo sapiens	adult	43 years	anti-CD3 and anti-CD28 coated beads,Interleukin-2	UniProtKB:P60568	10	ng/mL	36,5	hour,day						/replicates/99f740e6-bac8-45a0-b5fc-aa96c11cc1cd/				
/experiments/ENCSR993JMV/	ENCSR993JMV	RNA-seq	total RNA-seq				Homo sapiens endothelial cell of umbilical vein male newborn	endothelial cell of umbilical vein	GEO:GSE187975	HUVEC for bru-seq comparison	Barbara Wold, Caltech	ENCODE	released	/files/ENCFF596YNO/,/files/ENCFF446NGX/,/files/ENCFF636RLP/,/files/ENCFF828IRZ/,/files/ENCFF740BPP/,/files/ENCFF250SDR/,/files/ENCFF106GPU/,/files/ENCFF454MTF/,/files/ENCFF219PFB/,/files/ENCFF989MMQ/,/files/ENCFF948VKA/,/files/ENCFF443HGB/,/files/ENCFF097RRW/,/files/ENCFF887DLC/,/files/ENCFF835WMC/,/files/ENCFF886JPY/,/files/ENCFF815YTV/,/files/ENCFF118SVL/,/files/ENCFF134FYP/,/files/ENCFF140CNM/	/reference-epigenomes/ENCSR194DQD/	ENCBS820SXP,ENCBS023JCN	1,2	1		Homo sapiens	newborn													/replicates/6738169b-d42a-41b1-a085-41b9c9d649f2/,/replicates/4ca37885-f5a8-4eda-81e0-b904ba15c05d/				
/experiments/ENCSR992MUF/	ENCSR992MUF	polyA plus RNA-seq	polyA plus RNA-seq				Homo sapiens CD14-positive monocyte	CD14-positive monocyte	GEO:GSE187974	polyA plus RNA-seq of CD14-positive monocyte.	David Hafler, Yale	ENCODE	released	/files/ENCFF287ATL/,/files/ENCFF167KQW/,/files/ENCFF194PHG/,/files/ENCFF513XTK/,/files/ENCFF251FOD/,/files/ENCFF004DOF/,/files/ENCFF454MUF/,/files/ENCFF170TKR/,/files/ENCFF944OHT/		ENCBS549CYH	1	1		Homo sapiens	unknown													/replicates/9f581ba8-a637-4e83-a4e3-5cd8a2637f70/				
/experiments/ENCSR042SVA/	ENCSR042SVA	polyA plus RNA-seq	polyA plus RNA-seq				Homo sapiens with multiple sclerosis; naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	GEO:GSE187169	polyA plus RNA-seq of naive thymus-derived CD4-positive, alpha-beta T cell with multiple sclerosis.	David Hafler, Yale	ENCODE	released	/files/ENCFF984ZEZ/,/files/ENCFF196PDD/,/files/ENCFF426VSF/,/files/ENCFF912FVA/,/files/ENCFF756DVV/,/files/ENCFF248YWA/,/files/ENCFF392VPC/,/files/ENCFF527ITF/,/files/ENCFF899EOX/		ENCBS321BAK	1	1		Homo sapiens	unknown													/replicates/0d22705f-d2b3-4edb-a665-aad17f0654e5/				
/experiments/ENCSR588TSF/	ENCSR588TSF	polyA plus RNA-seq	polyA plus RNA-seq				Homo sapiens CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	GEO:GSE187561	polyA plus RNA-seq of CD4-positive, alpha-beta memory T cell.	David Hafler, Yale	ENCODE	released	/files/ENCFF183UZL/,/files/ENCFF668DFT/,/files/ENCFF392VJO/,/files/ENCFF419HHU/,/files/ENCFF350MOT/,/files/ENCFF556DGW/,/files/ENCFF654MJO/,/files/ENCFF568PWV/,/files/ENCFF840KJP/		ENCBS668VBU	1	1		Homo sapiens	unknown													/replicates/c0edd086-69ea-483b-a7b4-729f5c3224c9/				
/experiments/ENCSR968ACN/	ENCSR968ACN	polyA plus RNA-seq	polyA plus RNA-seq				Homo sapiens with multiple sclerosis; CD14-positive monocyte	CD14-positive monocyte	GEO:GSE187883	polyA plus RNA-seq of CD14-positive monocyte with multiple sclerosis.	David Hafler, Yale	ENCODE	released	/files/ENCFF811SVT/,/files/ENCFF942NZZ/,/files/ENCFF135UJT/,/files/ENCFF981HAU/,/files/ENCFF623LHV/,/files/ENCFF394OLM/,/files/ENCFF353ROS/,/files/ENCFF046FZP/,/files/ENCFF982WJW/		ENCBS929PLQ	1	1		Homo sapiens	unknown													/replicates/698a6b22-c3e6-4aa1-a6da-4dfd30ee4392/				
