File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF058SJS	tsv	tsv		gene quantifications	GRCh38	ENCSR914ALB	total RNA-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											RNA					unstranded	2022-07-22	ENCODE				1	1_1							/files/ENCFF285DRD/, /files/ENCFF678SXK/	10958168	ENCODE Processing Pipeline	1bcb1764c31b304bfb4ec3ea3cbe8f4c		https://www.encodeproject.org/files/ENCFF058SJS/@@download/ENCFF058SJS.tsv	V29			released	s3://encode-public/2022/01/04/d2e5d90a-805b-4510-8058-ba7cc5605920/ENCFF058SJS.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/01/04/d2e5d90a-805b-4510-8058-ba7cc5605920/ENCFF058SJS.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released		insufficient read length, insufficient read depth, missing spikeins	
ENCFF280QZQ	tsv	tsv		gene quantifications	GRCh38	ENCSR914ALB	total RNA-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											RNA					unstranded	2022-07-22	ENCODE				2	2_1							/files/ENCFF297ZGG/, /files/ENCFF285DRD/	10954758	ENCODE Processing Pipeline	9809ce6b861c428aab7e4c941cd8bee0		https://www.encodeproject.org/files/ENCFF280QZQ/@@download/ENCFF280QZQ.tsv	V29			released	s3://encode-public/2022/01/04/5c25954f-3cba-4380-b0a6-9fdf2fb12178/ENCFF280QZQ.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/01/04/5c25954f-3cba-4380-b0a6-9fdf2fb12178/ENCFF280QZQ.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released		insufficient read length, insufficient read depth, missing spikeins	
ENCFF954SRP	tsv	tsv		gene quantifications	GRCh38	ENCSR411MUF	total RNA-seq	/human-donors/ENCDO394DKX/	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	Homo sapiens											RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/ENCFF285DRD/, /files/ENCFF747OMM/	11036969	ENCODE Processing Pipeline	e6e43636c140bab82af157dfe9dcb200		https://www.encodeproject.org/files/ENCFF954SRP/@@download/ENCFF954SRP.tsv	V29			released	s3://encode-public/2021/05/24/5772026b-259d-441d-9c9b-5538a568fe90/ENCFF954SRP.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/5772026b-259d-441d-9c9b-5538a568fe90/ENCFF954SRP.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF489OCT	tsv	tsv		gene quantifications	GRCh38	ENCSR152FDX	total RNA-seq	/human-donors/ENCDO791UJG/	NTR:0000497	activated naive CD4-positive, alpha-beta T cell	primary cell	Homo sapiens	anti-CD3 and anti-CD28 coated beads, Interleukin-2	10 ng/mL	5 hour, 36 hour								RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/ENCFF227XZD/, /files/ENCFF285DRD/	11045669	ENCODE Processing Pipeline	57741b40cd66b54c61f397a319a98b77		https://www.encodeproject.org/files/ENCFF489OCT/@@download/ENCFF489OCT.tsv	V29			released	s3://encode-public/2021/05/24/f2592e67-17c6-4205-a43a-b6061ea70265/ENCFF489OCT.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/f2592e67-17c6-4205-a43a-b6061ea70265/ENCFF489OCT.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF613RIH	tsv	tsv		gene quantifications	GRCh38	ENCSR437HKI	total RNA-seq	/human-donors/ENCDO166AGR/	NTR:0000502	activated naive CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	anti-CD3 and anti-CD28 coated beads, Interleukin-2	10 ng/mL	7 day, 5 day								RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/ENCFF922HQV/, /files/ENCFF285DRD/	11034252	ENCODE Processing Pipeline	22c2eedc78541da869bb10b3f6eff165		https://www.encodeproject.org/files/ENCFF613RIH/@@download/ENCFF613RIH.tsv	V29			released	s3://encode-public/2021/05/24/ed23d323-757c-4828-9a85-c90ccc783d51/ENCFF613RIH.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/ed23d323-757c-4828-9a85-c90ccc783d51/ENCFF613RIH.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF866KGD	tsv	tsv		gene quantifications	GRCh38	ENCSR458FZP	total RNA-seq	/human-donors/ENCDO791UJG/	NTR:0000497	activated naive CD4-positive, alpha-beta T cell	primary cell	Homo sapiens	anti-CD3 and anti-CD28 coated beads, Interleukin-2	10 ng/mL	5 hour, 36 hour								RNA					reverse	2021-06-17	ENCODE				1	1_1							/files/ENCFF285DRD/, /files/ENCFF579RCV/	11052725	ENCODE Processing Pipeline	fd0b2ff61a38afeb7e8f01ea2709b88a		https://www.encodeproject.org/files/ENCFF866KGD/@@download/ENCFF866KGD.tsv	V29			released	s3://encode-public/2021/05/24/3b578a98-bd2f-43b7-b822-c57abe62d839/ENCFF866KGD.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/05/24/3b578a98-bd2f-43b7-b822-c57abe62d839/ENCFF866KGD.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF454MTF	tsv	tsv		gene quantifications	GRCh38	ENCSR993JMV	total RNA-seq	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				1	1_1							/files/ENCFF219PFB/, /files/ENCFF285DRD/	11032750	ENCODE Processing Pipeline	9569e249c601605bb408b712229427c9		https://www.encodeproject.org/files/ENCFF454MTF/@@download/ENCFF454MTF.tsv	V29			released	s3://encode-public/2021/07/20/6bae01c1-a29f-4620-9905-db60cf93afe6/ENCFF454MTF.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/6bae01c1-a29f-4620-9905-db60cf93afe6/ENCFF454MTF.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF134FYP	tsv	tsv		gene quantifications	GRCh38	ENCSR993JMV	total RNA-seq	/human-donors/ENCDO628LXZ/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											RNA					reverse	2021-08-18	ENCODE				2	2_1							/files/ENCFF815YTV/, /files/ENCFF285DRD/	11035019	ENCODE Processing Pipeline	4e904bd384a9756cc9bf65686c375aa2		https://www.encodeproject.org/files/ENCFF134FYP/@@download/ENCFF134FYP.tsv	V29			released	s3://encode-public/2021/07/20/641cc557-43df-41f6-8044-c689997a10db/ENCFF134FYP.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/07/20/641cc557-43df-41f6-8044-c689997a10db/ENCFF134FYP.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF170TKR	tsv	tsv		gene quantifications	GRCh38	ENCSR992MUF	polyA plus RNA-seq	/human-donors/ENCDO976NED/	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens											polyadenylated mRNA					unstranded	2021-10-12	ENCODE		chemical (Illumina TruSeq)	300-500	1	1_1							/files/ENCFF285DRD/, /files/ENCFF251FOD/	10790670	ENCODE Processing Pipeline	51d15ead4cfded2a9c1cf60ba787ec32		https://www.encodeproject.org/files/ENCFF170TKR/@@download/ENCFF170TKR.tsv	V29			released	s3://encode-public/2021/09/15/aabf68b4-3edf-469a-aff7-82939a91eebd/ENCFF170TKR.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/09/15/aabf68b4-3edf-469a-aff7-82939a91eebd/ENCFF170TKR.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released		insufficient read depth	
ENCFF899EOX	tsv	tsv		gene quantifications	GRCh38	ENCSR042SVA	polyA plus RNA-seq	/human-donors/ENCDO157PKH/	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	primary cell	Homo sapiens											polyadenylated mRNA					unstranded	2021-09-21	ENCODE		chemical (Illumina TruSeq)	300-500	1	1_1							/files/ENCFF248YWA/, /files/ENCFF285DRD/	10877958	ENCODE Processing Pipeline	b1740d81db9a3a506b4322a446c54025		https://www.encodeproject.org/files/ENCFF899EOX/@@download/ENCFF899EOX.tsv	V29			released	s3://encode-public/2021/09/15/848d4fed-9fd6-4396-a037-cc4f1e42cca4/ENCFF899EOX.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/09/15/848d4fed-9fd6-4396-a037-cc4f1e42cca4/ENCFF899EOX.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released	low read depth		
