File accession	classification	hr	sample
ENCFF026RBK	cell_line	activated_cd4_positive_alpha_beta_t_cell_2_1	activated_cd4_positive_alpha_beta_t_cell
ENCFF785OAV	cell_line	cd4_positive_alpha_beta_t_cell_1_1	cd4_positive_alpha_beta_t_cell
ENCFF307CQG	cell_line	activated_cd8_positive_alpha_beta_memory_t_cell_3_1	activated_cd8_positive_alpha_beta_memory_t_cell
ENCFF594PJE	cell_line	cd8_positive_alpha_beta_memory_t_cell_1_1	cd8_positive_alpha_beta_memory_t_cell
ENCFF768JVA	cell_line	naive_thymus_derived_cd4_positive_alpha_beta_t_cell_2_1	naive_thymus_derived_cd4_positive_alpha_beta_t_cell
ENCFF606WIM	cell_line	activated_cd4_positive_alpha_beta_memory_t_cell_4_1	activated_cd4_positive_alpha_beta_memory_t_cell
ENCFF118MYS	cell_line	naive_thymus_derived_cd8_positive_alpha_beta_t_cell_2_1	naive_thymus_derived_cd8_positive_alpha_beta_t_cell
ENCFF980YEK	cell_line	activated_cd8_positive_alpha_beta_memory_t_cell_2_1	activated_cd8_positive_alpha_beta_memory_t_cell
ENCFF994LBK	cell_line	cd4_positive_alpha_beta_memory_t_cell_2_1	cd4_positive_alpha_beta_memory_t_cell
ENCFF268MYA	cell_line	stimulated_activated_cd4_positive_alpha_beta_t_cell_2_1	stimulated_activated_cd4_positive_alpha_beta_t_cell
ENCFF222WFS	cell_line	cd8_positive_alpha_beta_memory_t_cell_2_1	cd8_positive_alpha_beta_memory_t_cell
ENCFF989OGW	cell_line	stimulated_activated_cd8_positive_alpha_beta_t_cell_2_1	stimulated_activated_cd8_positive_alpha_beta_t_cell
ENCFF998GQD	cell_line	activated_cd4_positive_alpha_beta_memory_t_cell_3_1	activated_cd4_positive_alpha_beta_memory_t_cell
ENCFF049ZXW	cell_line	cd4_positive_alpha_beta_memory_t_cell_1_1	cd4_positive_alpha_beta_memory_t_cell
ENCFF127XUK	cell_line	activated_cd4_positive_alpha_beta_memory_t_cell_2_1	activated_cd4_positive_alpha_beta_memory_t_cell
ENCFF784PZE	cell_line	stimulated_activated_cd4_positive_alpha_beta_t_cell_1_1	stimulated_activated_cd4_positive_alpha_beta_t_cell
ENCFF666YEO	cell_line	activated_naive_cd8_positive_alpha_beta_t_cell_4_1	activated_naive_cd8_positive_alpha_beta_t_cell
ENCFF846SOK	tissue	liver_2_1	liver
ENCFF780YUS	tissue	liver_2_2	liver
ENCFF675DVW	tissue	lung_1_1	lung
ENCFF678NWU	tissue	lung_1_2	lung
ENCFF181TFL	tissue	heart_1_1	heart
ENCFF589BBG	tissue	heart_1_2	heart
ENCFF849GOI	tissue	metanephros_1_1	metanephros
ENCFF042PDK	tissue	metanephros_1_2	metanephros
ENCFF057WTO	cell_line	smooth_muscle_cell_of_the_pulmonary_artery_1_1	smooth_muscle_cell_of_the_pulmonary_artery
ENCFF717IUE	cell_line	smooth_muscle_cell_of_the_pulmonary_artery_1_2	smooth_muscle_cell_of_the_pulmonary_artery
ENCFF605EAB	cell_line	bronchial_epithelial_cell_1_1	bronchial_epithelial_cell
ENCFF903VZB	cell_line	bronchial_epithelial_cell_1_2	bronchial_epithelial_cell
ENCFF472HFI	cell_line	k562_3_1	k562
ENCFF628SMT	cell_line	k562_3_2	k562
ENCFF549QYX	tissue	heart_2_1	heart
ENCFF235JKT	cell_line	pulmonary_artery_endothelial_cell_1_1	pulmonary_artery_endothelial_cell
ENCFF546LII	cell_line	pulmonary_artery_endothelial_cell_1_2	pulmonary_artery_endothelial_cell
ENCFF941CAT	tissue	urinary_bladder_1_1	urinary_bladder
ENCFF516WWE	tissue	urinary_bladder_1_2	urinary_bladder
ENCFF953GWT	cell_line	lung_microvascular_endothelial_cell_1_1	lung_microvascular_endothelial_cell
ENCFF506QCN	cell_line	lung_microvascular_endothelial_cell_1_2	lung_microvascular_endothelial_cell
ENCFF480HNH	cell_line	gm12878_8_1	gm12878
ENCFF978HIY	cell_line	gm12878_8_2	gm12878
ENCFF980VIH	tissue	uterus_1_1	uterus
ENCFF326EAR	tissue	uterus_1_2	uterus
ENCFF136UBW	cell_line	k562_1_1	k562
ENCFF171FQU	cell_line	k562_1_2	k562
ENCFF856QGB	cell_line	activated_cd8_positive_alpha_beta_memory_t_cell_1_1	activated_cd8_positive_alpha_beta_memory_t_cell
ENCFF677IBW	cell_line	cd8_positive_alpha_beta_t_cell_2_1	cd8_positive_alpha_beta_t_cell
ENCFF884MLJ	cell_line	activated_naive_cd4_positive_alpha_beta_t_cell_4_1	activated_naive_cd4_positive_alpha_beta_t_cell
ENCFF769IPE	tissue	lung_2_1	lung
ENCFF758GXN	cell_line	wtc11_2_1	wtc11
ENCFF860GKX	cell_line	wtc11_2_2	wtc11
ENCFF501GNN	cell_line	wtc11_2_3	wtc11
ENCFF710IFD	cell_line	panc1_1_1	panc1
ENCFF186ITS	cell_line	naive_thymus_derived_cd4_positive_alpha_beta_t_cell_1_1	naive_thymus_derived_cd4_positive_alpha_beta_t_cell
ENCFF599HQU	cell_line	h9_de_1_1	h9_de
ENCFF643LBM	cell_line	h9_de_1_2	h9_de
ENCFF435PHM	cell_line	hct116_1_1	hct116
ENCFF629LFN	tissue	psoas_muscle_2_1	psoas_muscle
ENCFF395XDK	cell_line	h1_1_1	h1
ENCFF147QBI	tissue	camera_type_eye_1_1	camera_type_eye
ENCFF433TYY	tissue	camera_type_eye_1_2	camera_type_eye
ENCFF852WKI	tissue	lower_lobe_of_left_lung_1_1	lower_lobe_of_left_lung
ENCFF910XWA	cell_line	gm12878_1_1	gm12878
ENCFF413MYB	cell_line	gm12878_1_2	gm12878
ENCFF108HZC	tissue	umbilical_cord_1_1	umbilical_cord
ENCFF990JEO	tissue	umbilical_cord_1_2	umbilical_cord
ENCFF062KDX	tissue	placenta_9_1	placenta
ENCFF764ITI	tissue	pancreas_3_1	pancreas
ENCFF141OXD	tissue	mesenteric_fat_pad_1_1	mesenteric_fat_pad
ENCFF568EVC	tissue	aorta_2_1	aorta
ENCFF169BHZ	cell_line	smooth_muscle_cell_of_the_umbilical_artery_1_1	smooth_muscle_cell_of_the_umbilical_artery
ENCFF737ASX	cell_line	smooth_muscle_cell_of_the_umbilical_artery_1_2	smooth_muscle_cell_of_the_umbilical_artery
ENCFF890XTW	tissue	spleen_5_1	spleen
ENCFF388LFO	cell_line	epithelial_cell_of_umbilical_artery_1_1	epithelial_cell_of_umbilical_artery
ENCFF205QSH	cell_line	epithelial_cell_of_umbilical_artery_1_2	epithelial_cell_of_umbilical_artery
ENCFF973CPC	cell_line	activated_t_cell_1_1	activated_t_cell
ENCFF617JTM	cell_line	pc3_2_1	pc3
ENCFF421TJX	cell_line	k562_5_1	k562
ENCFF154PPT	cell_line	hffc6_1_1	hffc6
ENCFF416ZRK	cell_line	hffc6_1_2	hffc6
ENCFF758JPT	cell_line	hffc6_1_3	hffc6
ENCFF093ECT	cell_line	hffc6_1_4	hffc6
ENCFF625OLD	cell_line	hffc6_1_5	hffc6
