gid	length	biotype	biotype_category
ENSG00000227232.5	15166	unprocessed_pseudogene	pseudogene
ENSG00000278267.1	67	miRNA	miRNA
ENSG00000243485.5	1555	lincRNA	lncRNA
ENSG00000284332.1	137	miRNA	miRNA
ENSG00000237613.2	1527	lincRNA	lncRNA
ENSG00000268020.3	839	unprocessed_pseudogene	pseudogene
ENSG00000240361.2	6518	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000186092.6	6166	protein_coding	protein_coding
ENSG00000238009.6	44428	lincRNA	lncRNA
ENSG00000239945.1	1554	lincRNA	lncRNA
ENSG00000233750.3	3811	processed_pseudogene	pseudogene
ENSG00000268903.1	754	processed_pseudogene	pseudogene
ENSG00000269981.1	283	processed_pseudogene	pseudogene
ENSG00000239906.1	549	antisense	lncRNA
ENSG00000241860.6	32388	processed_transcript	lncRNA
ENSG00000222623.1	103	snRNA	other
ENSG00000241599.1	1079	lincRNA	lncRNA
ENSG00000279928.2	1478	unprocessed_pseudogene	pseudogene
ENSG00000279457.4	10194	unprocessed_pseudogene	pseudogene
ENSG00000273874.1	67	miRNA	miRNA
ENSG00000228463.10	101817	transcribed_processed_pseudogene	pseudogene
ENSG00000236679.2	384	processed_pseudogene	pseudogene
ENSG00000236601.2	7195	lincRNA	lncRNA
ENSG00000237094.12	157539	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000269732.1	362	processed_pseudogene	pseudogene
ENSG00000284733.1	994	protein_coding	protein_coding
ENSG00000233653.3	2805	processed_pseudogene	pseudogene
ENSG00000250575.1	2016	unprocessed_pseudogene	pseudogene
ENSG00000278757.1	103	snRNA	other
ENSG00000230021.10	241725	transcribed_processed_pseudogene	pseudogene
ENSG00000235146.2	7139	lincRNA	lncRNA
ENSG00000225972.1	371	unprocessed_pseudogene	pseudogene
ENSG00000225630.1	1043	unprocessed_pseudogene	pseudogene
ENSG00000237973.1	1542	unprocessed_pseudogene	pseudogene
ENSG00000278791.1	88	miRNA	miRNA
ENSG00000229344.1	681	unprocessed_pseudogene	pseudogene
ENSG00000240409.1	206	unprocessed_pseudogene	pseudogene
ENSG00000248527.1	680	unprocessed_pseudogene	pseudogene
ENSG00000198744.5	546	unprocessed_pseudogene	pseudogene
ENSG00000268663.1	423	processed_pseudogene	pseudogene
ENSG00000284662.1	994	protein_coding	protein_coding
ENSG00000229376.3	2811	processed_pseudogene	pseudogene
ENSG00000228327.3	52741	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000223181.1	103	snRNA	other
ENSG00000229905.1	1078	antisense	lncRNA
ENSG00000237491.8	31290	lincRNA	lncRNA
ENSG00000285268.1	113	transcribed_processed_pseudogene	pseudogene
ENSG00000230092.7	16833	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000177757.2	2466	lincRNA	lncRNA
ENSG00000228794.8	34308	processed_transcript	lncRNA
ENSG00000225880.5	1316	lincRNA	lncRNA
ENSG00000230368.2	8832	lincRNA	lncRNA
ENSG00000234711.1	1057	unprocessed_pseudogene	pseudogene
ENSG00000283040.1	2705	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000272438.1	11142	lincRNA	lncRNA
ENSG00000230699.2	3513	lincRNA	lncRNA
ENSG00000241180.1	800	lincRNA	lncRNA
ENSG00000223764.2	4151	lincRNA	lncRNA
ENSG00000187634.11	20653	protein_coding	protein_coding
ENSG00000188976.10	15105	protein_coding	protein_coding
ENSG00000187961.13	5128	protein_coding	protein_coding
ENSG00000187583.10	9368	protein_coding	protein_coding
ENSG00000187642.9	6889	protein_coding	protein_coding
ENSG00000272512.1	2085	lincRNA	lncRNA
ENSG00000188290.10	1210	protein_coding	protein_coding
ENSG00000187608.9	13402	protein_coding	protein_coding
ENSG00000231702.2	153	processed_pseudogene	pseudogene
ENSG00000224969.1	1196	antisense	lncRNA
ENSG00000188157.14	35995	protein_coding	protein_coding
ENSG00000242590.1	1083	sense_intronic	lncRNA
ENSG00000217801.9	9621	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000273443.1	1080	lincRNA	lncRNA
ENSG00000237330.2	3341	protein_coding	protein_coding
ENSG00000131591.17	34543	protein_coding	protein_coding
ENSG00000285812.1	7013	antisense	lncRNA
ENSG00000223823.1	7039	lincRNA	lncRNA
ENSG00000207730.3	94	miRNA	miRNA
ENSG00000207607.3	89	miRNA	miRNA
ENSG00000198976.1	82	miRNA	miRNA
ENSG00000272141.1	986	lincRNA	lncRNA
ENSG00000205231.1	6499	antisense	lncRNA
ENSG00000162571.13	24051	protein_coding	protein_coding
ENSG00000186891.13	3183	protein_coding	protein_coding
ENSG00000186827.10	2812	protein_coding	protein_coding
ENSG00000078808.16	15123	protein_coding	protein_coding
ENSG00000176022.5	2815	protein_coding	protein_coding
ENSG00000184163.3	4276	protein_coding	protein_coding
ENSG00000260179.1	1557	lincRNA	lncRNA
ENSG00000160087.20	19976	protein_coding	protein_coding
ENSG00000230415.1	5197	lincRNA	lncRNA
ENSG00000162572.20	11593	protein_coding	protein_coding
ENSG00000131584.18	17233	protein_coding	protein_coding
ENSG00000278073.1	60	miRNA	miRNA
ENSG00000169972.11	3110	protein_coding	protein_coding
ENSG00000127054.20	13106	protein_coding	protein_coding
ENSG00000283712.1	64	miRNA	miRNA
ENSG00000240731.1	1108	sense_intronic	lncRNA
ENSG00000224051.6	4141	protein_coding	protein_coding
ENSG00000169962.4	3992	protein_coding	protein_coding
ENSG00000107404.19	14074	protein_coding	protein_coding
ENSG00000284372.1	58	miRNA	miRNA
ENSG00000162576.16	9088	protein_coding	protein_coding
ENSG00000175756.13	1765	protein_coding	protein_coding
ENSG00000223663.2	366	processed_pseudogene	pseudogene
ENSG00000221978.11	13617	protein_coding	protein_coding
ENSG00000224870.6	2524	processed_transcript	lncRNA
ENSG00000242485.5	5405	protein_coding	protein_coding
ENSG00000264293.2	292	misc_RNA	other
ENSG00000272455.1	1522	lincRNA	lncRNA
ENSG00000235098.8	3349	protein_coding	protein_coding
ENSG00000225905.1	2446	antisense	lncRNA
ENSG00000205116.3	1659	protein_coding	protein_coding
ENSG00000225285.1	4034	lincRNA	lncRNA
ENSG00000179403.11	8021	protein_coding	protein_coding
ENSG00000215915.9	20469	protein_coding	protein_coding
ENSG00000160072.19	26079	protein_coding	protein_coding
ENSG00000284740.1	6202	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000197785.13	22536	protein_coding	protein_coding
ENSG00000205090.8	5279	protein_coding	protein_coding
ENSG00000160075.11	33196	protein_coding	protein_coding
ENSG00000215014.5	2973	processed_transcript	lncRNA
ENSG00000274481.1	399	processed_pseudogene	pseudogene
ENSG00000228594.3	2084	protein_coding	protein_coding
ENSG00000272106.1	2037	antisense	lncRNA
ENSG00000197530.12	15195	protein_coding	protein_coding
ENSG00000189409.13	3168	protein_coding	protein_coding
ENSG00000248333.8	23785	protein_coding	protein_coding
ENSG00000272004.1	3277	antisense	lncRNA
ENSG00000189339.11	33199	protein_coding	protein_coding
ENSG00000269737.2	2407	transcribed_processed_pseudogene	pseudogene
ENSG00000215914.4	1840	unprocessed_pseudogene	pseudogene
ENSG00000008128.22	21594	protein_coding	protein_coding
ENSG00000268575.1	34952	processed_transcript	lncRNA
ENSG00000227775.3	12739	transcribed_processed_pseudogene	pseudogene
ENSG00000215790.7	21161	protein_coding	protein_coding
ENSG00000008130.15	29225	protein_coding	protein_coding
ENSG00000078369.17	105832	protein_coding	protein_coding
ENSG00000231050.1	1187	antisense	lncRNA
ENSG00000169885.9	2469	protein_coding	protein_coding
ENSG00000178821.12	1683	protein_coding	protein_coding
ENSG00000142609.18	81886	protein_coding	protein_coding
ENSG00000233542.1	2317	antisense	lncRNA
ENSG00000187730.8	11460	protein_coding	protein_coding
ENSG00000226969.1	867	antisense	lncRNA
ENSG00000067606.16	134925	protein_coding	protein_coding
ENSG00000271806.1	4195	antisense	lncRNA
ENSG00000182873.5	2595	antisense	lncRNA
ENSG00000162585.16	28259	protein_coding	protein_coding
ENSG00000234396.3	8215	lincRNA	lncRNA
ENSG00000157933.9	81424	protein_coding	protein_coding
ENSG00000116151.13	70454	protein_coding	protein_coding
ENSG00000272161.1	492	sense_intronic	lncRNA
ENSG00000269896.2	2406	transcribed_processed_pseudogene	pseudogene
ENSG00000272420.1	567	sense_intronic	lncRNA
ENSG00000157916.19	13669	protein_coding	protein_coding
ENSG00000157911.10	9833	protein_coding	protein_coding
ENSG00000149527.17	79550	protein_coding	protein_coding
ENSG00000224387.1	958	antisense	lncRNA
ENSG00000229393.1	1042	antisense	lncRNA
ENSG00000157881.13	18095	protein_coding	protein_coding
ENSG00000197921.5	1500	protein_coding	protein_coding
ENSG00000272449.2	17396	lincRNA	lncRNA
ENSG00000238164.6	7111	antisense	lncRNA
ENSG00000157873.17	9743	protein_coding	protein_coding
ENSG00000225931.3	3478	TEC	other
ENSG00000228037.1	2973	lincRNA	lncRNA
ENSG00000157870.15	4978	protein_coding	protein_coding
ENSG00000142606.15	42351	protein_coding	protein_coding
ENSG00000237058.1	4052	antisense	lncRNA
ENSG00000215912.12	165741	protein_coding	protein_coding
ENSG00000285945.1	16642	lincRNA	lncRNA
ENSG00000283259.1	2870	antisense	lncRNA
ENSG00000233234.1	842	lincRNA	lncRNA
ENSG00000231630.1	566	lincRNA	lncRNA
ENSG00000284745.1	8049	lincRNA	lncRNA
ENSG00000169717.6	1420	protein_coding	protein_coding
ENSG00000177133.10	8822	antisense	lncRNA
ENSG00000142611.16	369453	protein_coding	protein_coding
ENSG00000283572.1	60	miRNA	miRNA
ENSG00000226286.1	782	antisense	lncRNA
ENSG00000279839.1	2676	TEC	other
ENSG00000272235.1	3460	lincRNA	lncRNA
ENSG00000130762.14	26687	protein_coding	protein_coding
ENSG00000272088.1	381	lincRNA	lncRNA
ENSG00000162591.15	121575	protein_coding	protein_coding
ENSG00000207776.1	95	miRNA	miRNA
ENSG00000238260.1	1553	antisense	lncRNA
ENSG00000158109.14	5125	protein_coding	protein_coding
ENSG00000116213.15	21994	protein_coding	protein_coding
ENSG00000078900.14	83681	protein_coding	protein_coding
ENSG00000227589.1	9834	antisense	lncRNA
ENSG00000235131.1	2098	antisense	lncRNA
ENSG00000227372.12	11862	transcribed_unitary_pseudogene	pseudogene
ENSG00000276189.1	160	misc_RNA	other
ENSG00000162592.9	25185	protein_coding	protein_coding
ENSG00000235169.8	3221	protein_coding	protein_coding
ENSG00000130764.9	17946	protein_coding	protein_coding
ENSG00000266075.2	296	misc_RNA	other
ENSG00000272153.1	530	antisense	lncRNA
ENSG00000116198.12	45133	protein_coding	protein_coding
ENSG00000169598.15	28162	protein_coding	protein_coding
ENSG00000198912.10	11168	protein_coding	protein_coding
ENSG00000236423.5	16853	lincRNA	lncRNA
ENSG00000233304.6	14697	lincRNA	lncRNA
ENSG00000226374.2	4433	lincRNA	lncRNA
ENSG00000284668.1	36566	lincRNA	lncRNA
ENSG00000284703.1	6587	lincRNA	lncRNA
ENSG00000229280.1	371	processed_pseudogene	pseudogene
ENSG00000235054.3	12662	lincRNA	lncRNA
ENSG00000284694.1	5244	lincRNA	lncRNA
ENSG00000227169.2	410	lincRNA	lncRNA
ENSG00000232596.2	22528	lincRNA	lncRNA
ENSG00000196581.10	137802	protein_coding	protein_coding
ENSG00000284739.1	9344	lincRNA	lncRNA
ENSG00000284674.1	8187	lincRNA	lncRNA
ENSG00000231510.1	4440	lincRNA	lncRNA
ENSG00000284616.1	5466	lincRNA	lncRNA
ENSG00000284692.2	14321	lincRNA	lncRNA
ENSG00000284666.1	1241	lincRNA	lncRNA
ENSG00000260972.1	1696	lincRNA	lncRNA
ENSG00000283356.1	134	unprocessed_pseudogene	pseudogene
ENSG00000236948.2	106586	lincRNA	lncRNA
ENSG00000264341.1	72	miRNA	miRNA
ENSG00000264101.1	69	miRNA	miRNA
ENSG00000131697.17	129662	protein_coding	protein_coding
ENSG00000069424.14	109727	protein_coding	protein_coding
ENSG00000116254.17	78330	protein_coding	protein_coding
ENSG00000285629.1	38327	protein_coding	protein_coding
ENSG00000116251.10	24369	protein_coding	protein_coding
ENSG00000226944.1	940	antisense	lncRNA
ENSG00000158286.12	15824	protein_coding	protein_coding
ENSG00000116237.15	14779	protein_coding	protein_coding
ENSG00000225077.3	4752	lincRNA	lncRNA
ENSG00000173673.7	1386	protein_coding	protein_coding
ENSG00000158292.6	13629	protein_coding	protein_coding
ENSG00000097021.19	130122	protein_coding	protein_coding
ENSG00000271746.1	836	antisense	lncRNA
ENSG00000069812.11	12252	protein_coding	protein_coding
ENSG00000187017.16	36591	protein_coding	protein_coding
ENSG00000265392.1	62	miRNA	miRNA
ENSG00000231868.1	3972	antisense	lncRNA
ENSG00000215788.10	5409	protein_coding	protein_coding
