	annot_gene_id	gid	length	biotype	biotype_category	detected
0	ENSG00000000003.14	ENSG00000000003.14	12882	protein_coding	protein_coding	True
1	ENSG00000000005.5	ENSG00000000005.5	15083	protein_coding	protein_coding	True
2	ENSG00000000419.12	ENSG00000000419.12	23688	protein_coding	protein_coding	True
3	ENSG00000000457.13	ENSG00000000457.13	44636	protein_coding	protein_coding	True
4	ENSG00000000460.16	ENSG00000000460.16	192073	protein_coding	protein_coding	True
5	ENSG00000000938.12	ENSG00000000938.12	23213	protein_coding	protein_coding	True
6	ENSG00000000971.15	ENSG00000000971.15	95626	protein_coding	protein_coding	True
7	ENSG00000001036.13	ENSG00000001036.13	16879	protein_coding	protein_coding	True
8	ENSG00000001084.12	ENSG00000001084.12	119629	protein_coding	protein_coding	True
9	ENSG00000001167.14	ENSG00000001167.14	27031	protein_coding	protein_coding	True
10	ENSG00000001460.17	ENSG00000001460.17	59935	protein_coding	protein_coding	True
11	ENSG00000001461.16	ENSG00000001461.16	57182	protein_coding	protein_coding	True
12	ENSG00000001497.16	ENSG00000001497.16	22193	protein_coding	protein_coding	True
13	ENSG00000001561.6	ENSG00000001561.6	16706	protein_coding	protein_coding	True
14	ENSG00000001617.11	ENSG00000001617.11	34030	protein_coding	protein_coding	True
15	ENSG00000001626.15	ENSG00000001626.15	250187	protein_coding	protein_coding	True
16	ENSG00000001629.9	ENSG00000001629.9	155150	protein_coding	protein_coding	True
17	ENSG00000001630.16	ENSG00000001630.16	22652	protein_coding	protein_coding	True
18	ENSG00000001631.15	ENSG00000001631.15	47197	protein_coding	protein_coding	True
19	ENSG00000002016.17	ENSG00000002016.17	77976	protein_coding	protein_coding	True
20	ENSG00000002079.14	ENSG00000002079.14	72301	transcribed_unitary_pseudogene	pseudogene	True
21	ENSG00000002330.13	ENSG00000002330.13	14874	protein_coding	protein_coding	True
22	ENSG00000002549.12	ENSG00000002549.12	30780	protein_coding	protein_coding	True
23	ENSG00000002586.19	ENSG00000002586.19	50176	protein_coding	protein_coding	True
24	ENSG00000002587.9	ENSG00000002587.9	36615	protein_coding	protein_coding	True
25	ENSG00000002726.20	ENSG00000002726.20	36877	protein_coding	protein_coding	True
26	ENSG00000002745.12	ENSG00000002745.12	15737	protein_coding	protein_coding	True
27	ENSG00000002746.14	ENSG00000002746.14	453402	protein_coding	protein_coding	True
28	ENSG00000002822.15	ENSG00000002822.15	417450	protein_coding	protein_coding	True
29	ENSG00000002834.17	ENSG00000002834.17	51911	protein_coding	protein_coding	True
30	ENSG00000002919.14	ENSG00000002919.14	19717	protein_coding	protein_coding	True
31	ENSG00000002933.8	ENSG00000002933.8	4717	protein_coding	protein_coding	True
32	ENSG00000003056.7	ENSG00000003056.7	9592	protein_coding	protein_coding	True
33	ENSG00000003096.14	ENSG00000003096.14	219527	protein_coding	protein_coding	True
34	ENSG00000003137.8	ENSG00000003137.8	18800	protein_coding	protein_coding	True
35	ENSG00000003147.18	ENSG00000003147.18	149503	protein_coding	protein_coding	True
36	ENSG00000003249.13	ENSG00000003249.13	15263	protein_coding	protein_coding	True
37	ENSG00000003393.14	ENSG00000003393.14	80635	protein_coding	protein_coding	True
38	ENSG00000003400.14	ENSG00000003400.14	46525	protein_coding	protein_coding	True
39	ENSG00000003402.19	ENSG00000003402.19	60583	protein_coding	protein_coding	True
40	ENSG00000003436.15	ENSG00000003436.15	101530	protein_coding	protein_coding	True
41	ENSG00000003509.15	ENSG00000003509.15	21772	protein_coding	protein_coding	True
42	ENSG00000003756.16	ENSG00000003756.16	30113	protein_coding	protein_coding	True
43	ENSG00000003987.13	ENSG00000003987.13	115498	protein_coding	protein_coding	True
44	ENSG00000003989.17	ENSG00000003989.17	73485	protein_coding	protein_coding	True
45	ENSG00000004059.10	ENSG00000004059.10	3360	protein_coding	protein_coding	True
46	ENSG00000004139.13	ENSG00000004139.13	39693	protein_coding	protein_coding	True
47	ENSG00000004142.11	ENSG00000004142.11	10345	protein_coding	protein_coding	True
48	ENSG00000004399.12	ENSG00000004399.12	51643	protein_coding	protein_coding	True
49	ENSG00000004455.16	ENSG00000004455.16	73056	protein_coding	protein_coding	True
50	ENSG00000004468.12	ENSG00000004468.12	74955	protein_coding	protein_coding	True
51	ENSG00000004478.7	ENSG00000004478.7	10470	protein_coding	protein_coding	True
52	ENSG00000004487.16	ENSG00000004487.16	64246	protein_coding	protein_coding	True
53	ENSG00000004534.14	ENSG00000004534.14	160038	protein_coding	protein_coding	True
54	ENSG00000004660.14	ENSG00000004660.14	34576	protein_coding	protein_coding	True
55	ENSG00000004700.15	ENSG00000004700.15	32758	protein_coding	protein_coding	True
56	ENSG00000004766.16	ENSG00000004766.16	128781	protein_coding	protein_coding	True
57	ENSG00000004776.12	ENSG00000004776.12	3510	protein_coding	protein_coding	True
58	ENSG00000004777.18	ENSG00000004777.18	14290	protein_coding	protein_coding	True
59	ENSG00000004779.9	ENSG00000004779.9	15354	protein_coding	protein_coding	True
60	ENSG00000004799.7	ENSG00000004799.7	12992	protein_coding	protein_coding	True
61	ENSG00000004809.13	ENSG00000004809.13	51954	protein_coding	protein_coding	True
62	ENSG00000004838.13	ENSG00000004838.13	5742	protein_coding	protein_coding	True
63	ENSG00000004846.16	ENSG00000004846.16	161831	protein_coding	protein_coding	True
64	ENSG00000004848.7	ENSG00000004848.7	12726	protein_coding	protein_coding	True
65	ENSG00000004864.13	ENSG00000004864.13	201927	protein_coding	protein_coding	True
66	ENSG00000004866.20	ENSG00000004866.20	276865	protein_coding	protein_coding	True
67	ENSG00000004897.11	ENSG00000004897.11	71719	protein_coding	protein_coding	True
68	ENSG00000004939.14	ENSG00000004939.14	19756	protein_coding	protein_coding	True
69	ENSG00000004948.14	ENSG00000004948.14	150243	protein_coding	protein_coding	True
70	ENSG00000004961.14	ENSG00000004961.14	11777	protein_coding	protein_coding	True
71	ENSG00000004975.11	ENSG00000004975.11	9204	protein_coding	protein_coding	True
72	ENSG00000005001.9	ENSG00000005001.9	5443	protein_coding	protein_coding	True
73	ENSG00000005007.12	ENSG00000005007.12	36298	protein_coding	protein_coding	True
74	ENSG00000005020.12	ENSG00000005020.12	328177	protein_coding	protein_coding	True
75	ENSG00000005022.5	ENSG00000005022.5	2919	protein_coding	protein_coding	True
76	ENSG00000005059.15	ENSG00000005059.15	128521	protein_coding	protein_coding	True
77	ENSG00000005073.5	ENSG00000005073.5	3713	protein_coding	protein_coding	True
78	ENSG00000005075.15	ENSG00000005075.15	5789	protein_coding	protein_coding	True
79	ENSG00000005100.12	ENSG00000005100.12	28148	protein_coding	protein_coding	True
80	ENSG00000005102.12	ENSG00000005102.12	21566	protein_coding	protein_coding	True
81	ENSG00000005108.15	ENSG00000005108.15	461841	protein_coding	protein_coding	True
82	ENSG00000005156.11	ENSG00000005156.11	29249	protein_coding	protein_coding	True
83	ENSG00000005175.9	ENSG00000005175.9	44812	protein_coding	protein_coding	True
84	ENSG00000005187.11	ENSG00000005187.11	187338	protein_coding	protein_coding	True
85	ENSG00000005189.19	ENSG00000005189.19	43239	protein_coding	protein_coding	True
86	ENSG00000005194.14	ENSG00000005194.14	19359	protein_coding	protein_coding	True
87	ENSG00000005206.16	ENSG00000005206.16	26191	protein_coding	protein_coding	True
88	ENSG00000005238.19	ENSG00000005238.19	12229	protein_coding	protein_coding	True
89	ENSG00000005243.9	ENSG00000005243.9	11863	protein_coding	protein_coding	True
90	ENSG00000005249.12	ENSG00000005249.12	117162	protein_coding	protein_coding	True
